Title,Outlet,Date,URL,Description
"The rise and fall of an AI-driven ""local news outlet"" in South Florida",FloridaTrib,5/14/26,https://floridatrib.org/2026/05/14/the-rise-and-fall-of-an-ai-driven-local-news-outlet-in-south-florida/,
Wisconsin candidates tout endorsements as primary season heats up,Wisconsin Public Radio (WPR),4/27/26,https://www.wpr.org/news/wisconsin-candidates-tout-endorsements-as-primary-season-heats-up,By Anya van Wagtendonk
Could this mysterious California news site influence the 2026 election?,CalMatters / Los Angeles Times,1/5/26,https://calmatters.org/economy/technology/2026/01/mysterious-website-2026-election/,Reprinted in Los Angeles Times
A drag on the ticket? Estimating top-of-the-ticket effects on down-ballot races,American Journal of Political Science,12/1/25,https://ajps.org/2025/12/01/a-drag-on-the-ticket-estimating-top%E2%80%90of%E2%80%90the%E2%80%90ticket-effects-on-down%E2%80%90ballot-races/,Author summary
Media in Trump's Second Presidency,CQ Researcher Report,9/19/25,https://cqpress.sagepub.com/cqresearcher/report/media-in-trumps-second-presidency-cqresrre20250919?token=0b6a0622-61c7-4cc7-9116-6e51d896cbe8518629b46db74d4800f1d839cb12913b16e1de839cd40646b1c2d56d2f0ba47e#_,By Gregory Perreault
Study: People Often Trust Fake Local News Sites More Than Real Ones,Yale ISPS,9/16/25,https://isps.yale.edu/news/2025-09-16-study-people-often-trust-fake-local-news-sites-more-than-real-ones-yale-political,By Rick Harrison
The Dangers of America's Gerrymandering Problem—And How to Fix It,TIME Ideas,8/14/25,https://time.com/7309565/americas-gerrymandering-problem-fix/,By Benjamin Schneer and Maxwell Palmer
The Political Pulse: Why Polling Persists in American Politics,The Politic,1/18/25,https://thepolitic.org/the-political-pulse-why-polling-persists-in-american-politics/,
San Francisco politics are about to get crazy. Here's what to look out for,The San Francisco Standard,9/2/24,https://sfstandard.com/2024/09/02/san-francisco-politics-november-election-three-takeaways/,
Could These Unconventional Voices Determine the 2024 Election?,Deseret News,8/19/24,https://www.deseret.com/opinion/2024/08/19/political-endorsements-elon-musk-joe-rogan-taylor-swift/,
This research could make elections fairer,Harvard Kennedy School,4/22/24,https://www.youtube.com/watch?v=xHgpDaHk3jw,Video; Benjamin Schneer on the Define-Combine Procedure
8 Things to Know About Election Disinformation in the Age of AI,AARP,4/3/24,https://www.aarp.org/government-elections/ai-election-disinformation/,"By Edward C. Baig; updated July 30, 2026"
How politicians can draw fairer election districts the same way parents make kids fairly split a piece of cake,The Conversation,2/20/24,https://theconversation.com/how-politicians-can-draw-fairer-election-districts-the-same-way-parents-make-kids-fairly-split-a-piece-of-cake-222859,"By Schneer, DeLuca and Palmer"
Who Cares What Taylor Swift Thinks?, Harvard Gazette,2/8/24,https://news.harvard.edu/gazette/story/2024/02/who-cares-what-taylor-swift-thinks/,
"Cutting the Gerrymandering Cake: ""Define-Combine Procedure"" Reduces Partisan Bias in District Maps",Yale ISPS,1/30/24,https://isps.yale.edu/news/2024-01-30-cutting-the-gerrymandering-cake-define-combine-procedure-reduces-partisan-bias-in,By Rick Harrison
Newspaper Endorsements and the Importance of Candidate Quality in Politics,IQSS Blog,8/14/23,https://www.iq.harvard.edu/news/newspaper-endorsements-and-importance-candidate-quality-politics,
