race_id,person,bioguide,party,is_incumbent,event_type,event_date,known_by,date_basis,incumbent_on_ballot_after,source_url,notes,_confidence,_left_censored,_right_censored,_resolution_days,_days_present,_gaps,_last_seen,_pages,_section,_race_why,_evidence,_flag,_suggested_action,_needs_human
HOU_AZ_05_2026,Andy Biggs,,,,seeking_other_office,,2025-01-25,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,462,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Republican,ushr template,# AZ-5: Andy Biggs is retiring to run for governor.,has_generic_twin,keep this row; its twin is the drop,
HOU_TN_06_2026,John Rose,,,,seeking_other_office,,2025-01-27,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,460,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Republican,ushr template,# TN-6: John Rose is retiring to run for governor.,,,
SEN_MN_2026,Tina Smith,,,,retiring,,2025-02-18,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_Senate_elections,,high,,,1,114,0,2025-06-28,2026 United States Senate elections,Retirements,state name,"! Minnesota | Tina | Smith (retiring) | data-sort-value=""-48.7"" | 48.74% D",,,
SEN_KY_2026,Mitch McConnell,,,,retiring,,2025-02-20,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_Senate_elections,,high,,,1,112,0,2025-06-28,2026 United States Senate elections,Retirements,state name,"! Kentucky | Mitch | McConnell (retiring) | data-sort-value=""57.8"" | 57.76% R",,,
HOU_FL_19_2026,Byron Donalds,,,,seeking_other_office,,2025-02-26,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,435,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Republican,ushr template,# FL-19: Byron Donalds is retiring to run for governor.,,,
SEN_NH_2026,Jeanne Shaheen,,,,retiring,,2025-03-12,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_Senate_elections,,high,,,1,96,0,2025-06-28,2026 United States Senate elections,Retirements,state name,"! New Hampshire | Jeanne | Shaheen (retiring) | data-sort-value=""-56.6"" | 56.64% D",,,
HOU_NH_01_2026,Chris Pappas,,,,seeking_other_office,,2025-04-03,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,407,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Democratic,ushr template,# NH-1: Chris Pappas is retiring to run for U.S. Senate.,has_generic_twin,keep this row; its twin is the drop,
GOV_IA_2026,Kim Reynolds,,,,retiring,,2025-04-11,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_gubernatorial_elections,,high,,yes,1,391,0,2026-08-23,2026 United States gubernatorial elections,Predictions; Race summary > States; Retirements,state name,"! Iowa | Kim | Reynolds (retiring) | data-sort-value=""58.0"" | 58.04% R",,,
HOU_MI_11_2026,Haley Stevens,,,,seeking_other_office,,2025-04-22,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,389,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Democratic,ushr template,# MI-11: Haley Stevens is retiring to run for U.S. Senate.,,,
SEN_IL_2026,Dick Durbin,,,,retiring,,2025-04-23,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_Senate_elections,,high,,,1,60,0,2025-06-28,2026 United States Senate elections,Retirements,state name,"! Illinois | Dick | Durbin (retiring) | data-sort-value=""-54.9"" | 54.93% D",,,
HOU_VA_11_2026,Gerry Connolly,,,,retiring,,2025-04-28,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,,3,21,0,2025-05-20,2026 United States House of Representatives elections,Retirements > Democratic,ushr template,# VA-11: Gerry Connolly is retiring.,,,
HOU_MN_02_2026,Angie Craig,,,,seeking_other_office,,2025-04-29,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,384,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Democratic,ushr template,# MN-2: Angie Craig is retiring to run for U.S. Senate.,has_generic_twin,keep this row; its twin is the drop,
HOU_IL_09_2026,Jan Schakowsky,,,,retiring,,2025-05-05,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,378,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Democratic,ushr template,# IL-9: Jan Schakowsky is retiring.,,,
HOU_IL_02_2026,Robin Kelly,,,,seeking_other_office,,2025-05-06,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,377,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Democratic,ushr template,# IL-2: Robin Kelly is retiring to run for U.S. Senate.,,,
