race_id,state,party_holding,incumbent_name,is_running,event_type,event_date,known_by,date_basis,source_url,derivation,notes
SEN_AK_2026,AK,REPUBLICAN,DAN SULLIVAN,TRUE,running,,2026-08-05,ballotpedia_absent_from_list,https://ballotpedia.org/List_of_U.S._Senate_incumbents_who_are_not_running_for_re-election_in_2026,MEDSL 2020 Senate winner,
SEN_AL_2026,AL,REPUBLICAN,Tommy Tuberville,FALSE,seeking_other_office,2025-05-27,2025-05-27,ballotpedia_announcement,https://ballotpedia.org/List_of_U.S._Senate_incumbents_who_are_not_running_for_re-election_in_2026,MEDSL 2020 Senate winner,running for governor
SEN_AR_2026,AR,REPUBLICAN,TOM COTTON,TRUE,running,,2026-08-05,ballotpedia_absent_from_list,https://ballotpedia.org/List_of_U.S._Senate_incumbents_who_are_not_running_for_re-election_in_2026,MEDSL 2020 Senate winner,
SEN_CO_2026,CO,DEMOCRAT,JOHN W. HICKENLOOPER,TRUE,running,,2026-08-05,ballotpedia_absent_from_list,https://ballotpedia.org/List_of_U.S._Senate_incumbents_who_are_not_running_for_re-election_in_2026,MEDSL 2020 Senate winner,
SEN_DE_2026,DE,DEMOCRAT,CHRISTOPHER A. COONS,TRUE,running,,2026-08-05,ballotpedia_absent_from_list,https://ballotpedia.org/List_of_U.S._Senate_incumbents_who_are_not_running_for_re-election_in_2026,MEDSL 2020 Senate winner,
SEN_FL_2026,FL,REPUBLICAN,Ashley Moody,TRUE,appointed,2025-01-16,2025-01-17,inside_elections_report,https://www.insideelections.com/news/article/florida-and-ohio-appointments-moody-husted,"SPECIAL — seat vacated mid-term, holder appointed (IE 2025-01-17)",SPECIAL for the remainder of Rubio's term; Rubio resigned 2025-01-21 as secretary of state. is_running TRUE by absence from the BP not-running list; appointee identity is from a 2025-01 report and wants re-checking
SEN_GA_2026,GA,DEMOCRAT,JON OSSOFF,TRUE,running,,2026-08-05,ballotpedia_absent_from_list,https://ballotpedia.org/List_of_U.S._Senate_incumbents_who_are_not_running_for_re-election_in_2026,2021 runoff for the Class 2 seat,
SEN_IA_2026,IA,REPUBLICAN,Joni Ernst,FALSE,retiring,2025-09-02,2025-09-02,ballotpedia_announcement,https://ballotpedia.org/List_of_U.S._Senate_incumbents_who_are_not_running_for_re-election_in_2026,MEDSL 2020 Senate winner,
SEN_ID_2026,ID,REPUBLICAN,JIM RISCH,TRUE,running,,2026-08-05,ballotpedia_absent_from_list,https://ballotpedia.org/List_of_U.S._Senate_incumbents_who_are_not_running_for_re-election_in_2026,MEDSL 2020 Senate winner,
SEN_IL_2026,IL,DEMOCRAT,Richard J. Durbin,FALSE,retiring,2025-04-23,2025-04-23,ballotpedia_announcement,https://ballotpedia.org/List_of_U.S._Senate_incumbents_who_are_not_running_for_re-election_in_2026,MEDSL 2020 Senate winner,
SEN_KS_2026,KS,REPUBLICAN,ROGER MARSHALL,TRUE,running,,2026-08-05,ballotpedia_absent_from_list,https://ballotpedia.org/List_of_U.S._Senate_incumbents_who_are_not_running_for_re-election_in_2026,MEDSL 2020 Senate winner,
SEN_KY_2026,KY,REPUBLICAN,Mitch McConnell,FALSE,retiring,2025-02-20,2025-02-20,ballotpedia_announcement,https://ballotpedia.org/List_of_U.S._Senate_incumbents_who_are_not_running_for_re-election_in_2026,MEDSL 2020 Senate winner,
SEN_LA_2026,LA,REPUBLICAN,"BILL"" CASSIDY",TRUE,running,,2026-08-05,ballotpedia_absent_from_list,https://ballotpedia.org/List_of_U.S._Senate_incumbents_who_are_not_running_for_re-election_in_2026,MEDSL 2020 Senate winner,"CHECK: Cassidy has been reported as losing renomination. If so is_running must be FALSE, as in Texas. Not confirmed here."
SEN_MA_2026,MA,DEMOCRAT,EDWARD J. MARKEY,TRUE,running,,2026-08-05,ballotpedia_absent_from_list,https://ballotpedia.org/List_of_U.S._Senate_incumbents_who_are_not_running_for_re-election_in_2026,MEDSL 2020 Senate winner,
SEN_ME_2026,ME,REPUBLICAN,SUSAN MARGARET COLLINS,TRUE,running,,2026-08-05,ballotpedia_absent_from_list,https://ballotpedia.org/List_of_U.S._Senate_incumbents_who_are_not_running_for_re-election_in_2026,MEDSL 2020 Senate winner,
SEN_MI_2026,MI,DEMOCRAT,Gary Peters,FALSE,retiring,2025-01-28,2025-01-28,ballotpedia_announcement,https://ballotpedia.org/List_of_U.S._Senate_incumbents_who_are_not_running_for_re-election_in_2026,MEDSL 2020 Senate winner,
SEN_MN_2026,MN,DEMOCRAT,Tina Smith,FALSE,retiring,2025-02-13,2025-02-13,ballotpedia_announcement,https://ballotpedia.org/List_of_U.S._Senate_incumbents_who_are_not_running_for_re-election_in_2026,MEDSL 2020 Senate winner,
SEN_MS_2026,MS,REPUBLICAN,CINDY HYDE-SMITH,TRUE,running,,2026-08-05,ballotpedia_absent_from_list,https://ballotpedia.org/List_of_U.S._Senate_incumbents_who_are_not_running_for_re-election_in_2026,MEDSL 2020 Senate winner,
SEN_MT_2026,MT,REPUBLICAN,Steve Daines,FALSE,retiring,2026-03-04,2026-03-04,ballotpedia_announcement,https://ballotpedia.org/List_of_U.S._Senate_incumbents_who_are_not_running_for_re-election_in_2026,MEDSL 2020 Senate winner,
SEN_NC_2026,NC,REPUBLICAN,Thom Tillis,FALSE,retiring,2025-06-29,2025-06-29,ballotpedia_announcement,https://ballotpedia.org/List_of_U.S._Senate_incumbents_who_are_not_running_for_re-election_in_2026,MEDSL 2020 Senate winner,
SEN_NE_2026,NE,REPUBLICAN,Pete Ricketts,TRUE,running,2026-05-12,2026-05-12,ballotpedia_race_page,"https://ballotpedia.org/United_States_Senate_election_in_Nebraska,_2026",MEDSL 2020 Senate winner,"appointed 2023 after Sasse resigned, WON the 2024 special, won the 2026 R primary 81.5%. No Democrat on the general ballot: Cindy Burbank (D) won the primary and withdrew 2026-07-17, so the two-party assumption cannot represent this race"
SEN_NH_2026,NH,DEMOCRAT,Jeanne Shaheen,FALSE,retiring,2025-03-12,2025-03-12,ballotpedia_announcement,https://ballotpedia.org/List_of_U.S._Senate_incumbents_who_are_not_running_for_re-election_in_2026,MEDSL 2020 Senate winner,
SEN_NJ_2026,NJ,DEMOCRAT,CORY BOOKER,TRUE,running,,2026-08-05,ballotpedia_absent_from_list,https://ballotpedia.org/List_of_U.S._Senate_incumbents_who_are_not_running_for_re-election_in_2026,MEDSL 2020 Senate winner,
SEN_NM_2026,NM,DEMOCRAT,BEN R. LUJAN,TRUE,running,,2026-08-05,ballotpedia_absent_from_list,https://ballotpedia.org/List_of_U.S._Senate_incumbents_who_are_not_running_for_re-election_in_2026,MEDSL 2020 Senate winner,
SEN_OH_2026,OH,REPUBLICAN,Jon Husted,TRUE,appointed,2025-01-17,2025-01-17,inside_elections_report,https://www.insideelections.com/news/article/florida-and-ohio-appointments-moody-husted,"SPECIAL — seat vacated mid-term, holder appointed (IE 2025-01-17)",SPECIAL for the remainder of Vance's term; Vance resigned 2025-01-09 as vice president. is_running TRUE by absence from the BP not-running list; appointee identity is from a 2025-01 report and wants re-checking
SEN_OK_2026,OK,REPUBLICAN,Alan Armstrong,FALSE,retiring,2026-03-24,2026-03-24,ballotpedia_announcement,https://ballotpedia.org/List_of_U.S._Senate_incumbents_who_are_not_running_for_re-election_in_2026,MEDSL 2020 Senate winner,appointed after Mullin resigned 2026-03-23 to serve as secretary of homeland security
SEN_OR_2026,OR,DEMOCRAT,JEFF MERKLEY,TRUE,running,,2026-08-05,ballotpedia_absent_from_list,https://ballotpedia.org/List_of_U.S._Senate_incumbents_who_are_not_running_for_re-election_in_2026,MEDSL 2020 Senate winner,
