snapshot_date,source_id,category,race_id,chamber,state,district,quantity,value,unit,as_of,provenance
2025-07-19,polymarket,market,NATL_HOUSE_2026,national,,,win_prob_D,0.704,prob,2025-07-19,archival
2025-07-19,polymarket,market,NATL_SENATE_2026,national,,,win_prob_D,0.2533,prob,2025-07-19,archival
2025-07-20,polymarket,market,NATL_HOUSE_2026,national,,,win_prob_D,0.7185,prob,2025-07-20,archival
2025-07-20,polymarket,market,NATL_SENATE_2026,national,,,win_prob_D,0.2633,prob,2025-07-20,archival
2025-07-21,polymarket,market,NATL_HOUSE_2026,national,,,win_prob_D,0.7189,prob,2025-07-21,archival
2025-07-21,polymarket,market,NATL_SENATE_2026,national,,,win_prob_D,0.2634,prob,2025-07-21,archival
2025-07-22,polymarket,market,NATL_HOUSE_2026,national,,,win_prob_D,0.7407,prob,2025-07-22,archival
2025-07-22,polymarket,market,NATL_SENATE_2026,national,,,win_prob_D,0.2563,prob,2025-07-22,archival
2025-07-23,polymarket,market,NATL_HOUSE_2026,national,,,win_prob_D,0.7396,prob,2025-07-23,archival
2025-07-23,polymarket,market,NATL_SENATE_2026,national,,,win_prob_D,0.2544,prob,2025-07-23,archival
2025-07-24,polymarket,market,NATL_HOUSE_2026,national,,,win_prob_D,0.74,prob,2025-07-24,archival
2025-07-24,polymarket,market,NATL_SENATE_2026,national,,,win_prob_D,0.2551,prob,2025-07-24,archival
2025-07-25,polymarket,market,NATL_HOUSE_2026,national,,,win_prob_D,0.7404,prob,2025-07-25,archival
2025-07-25,polymarket,market,NATL_SENATE_2026,national,,,win_prob_D,0.2552,prob,2025-07-25,archival
2025-07-26,polymarket,market,NATL_HOUSE_2026,national,,,win_prob_D,0.7415,prob,2025-07-26,archival
2025-07-26,polymarket,market,NATL_SENATE_2026,national,,,win_prob_D,0.2541,prob,2025-07-26,archival
2025-07-27,polymarket,market,NATL_HOUSE_2026,national,,,win_prob_D,0.7422,prob,2025-07-27,archival
2025-07-27,polymarket,market,NATL_SENATE_2026,national,,,win_prob_D,0.2538,prob,2025-07-27,archival
2025-07-28,polymarket,market,NATL_HOUSE_2026,national,,,win_prob_D,0.733,prob,2025-07-28,archival
2025-07-28,polymarket,market,NATL_SENATE_2026,national,,,win_prob_D,0.2531,prob,2025-07-28,archival
2025-07-29,polymarket,market,NATL_HOUSE_2026,national,,,win_prob_D,0.733,prob,2025-07-29,archival
2025-07-29,polymarket,market,NATL_SENATE_2026,national,,,win_prob_D,0.2531,prob,2025-07-29,archival
2025-07-30,polymarket,market,NATL_HOUSE_2026,national,,,win_prob_D,0.7327,prob,2025-07-30,archival
2025-07-30,polymarket,market,NATL_SENATE_2026,national,,,win_prob_D,0.2535,prob,2025-07-30,archival
2025-07-31,polymarket,market,NATL_HOUSE_2026,national,,,win_prob_D,0.733,prob,2025-07-31,archival
2025-07-31,polymarket,market,NATL_SENATE_2026,national,,,win_prob_D,0.2536,prob,2025-07-31,archival
2025-08-01,polymarket,market,NATL_HOUSE_2026,national,,,win_prob_D,0.7323,prob,2025-08-01,archival
