snapshot_date,category,race_id,chamber,state,district,quantity,unit,n_sources,n_gated,partial,n_withheld,mean,min,max,sd,tier,display,sole_source,oldest_as_of,n_carried
2025-01-01,academic,NATL_HOUSE_2026,national,,,margin_D,margin,1,0,0,0,1.45,1.45,1.45,,open,single,academic_bew,2025-01-01,0
2025-01-01,academic,NATL_HOUSE_2026,national,,,seats_D,seats,1,0,0,0,208.92,208.92,208.92,,open,single,academic_bew,2025-01-01,0
2025-01-01,academic,NATL_HOUSE_2026,national,,,win_prob_D,prob,1,0,0,0,0.2839,0.2839,0.2839,,open,single,academic_bew,2025-01-01,0
2025-01-01,academic,NATL_SENATE_2026,national,,,seats_D,seats,1,0,0,0,47.06,47.06,47.06,,open,single,academic_bew,2025-01-01,0
2025-01-01,academic,NATL_SENATE_2026,national,,,win_prob_D,prob,1,0,0,0,0.0494,0.0494,0.0494,,open,single,academic_bew,2025-01-01,0
2025-01-01,academic,SEN_AK_2026,senate,AK,,margin_D,margin,1,0,0,0,-11.45,-11.45,-11.45,,open,single,academic_bew,2025-01-01,0
2025-01-01,academic,SEN_AK_2026,senate,AK,,win_prob_D,prob,1,0,0,0,0.0402,0.0402,0.0402,,open,single,academic_bew,2025-01-01,0
2025-01-01,academic,SEN_AL_2026,senate,AL,,margin_D,margin,1,0,0,0,-28.17,-28.17,-28.17,,open,single,academic_bew,2025-01-01,0
2025-01-01,academic,SEN_AL_2026,senate,AL,,win_prob_D,prob,1,0,0,0,0.0,0.0,0.0,,open,single,academic_bew,2025-01-01,0
2025-01-01,academic,SEN_AR_2026,senate,AR,,margin_D,margin,1,0,0,0,-29.17,-29.17,-29.17,,open,single,academic_bew,2025-01-01,0
2025-01-01,academic,SEN_AR_2026,senate,AR,,win_prob_D,prob,1,0,0,0,0.0,0.0,0.0,,open,single,academic_bew,2025-01-01,0
2025-01-01,academic,SEN_CO_2026,senate,CO,,margin_D,margin,1,0,0,0,13.39,13.39,13.39,,open,single,academic_bew,2025-01-01,0
2025-01-01,academic,SEN_CO_2026,senate,CO,,win_prob_D,prob,1,0,0,0,0.9795,0.9795,0.9795,,open,single,academic_bew,2025-01-01,0
2025-01-01,academic,SEN_DE_2026,senate,DE,,margin_D,margin,1,0,0,0,17.47,17.47,17.47,,open,single,academic_bew,2025-01-01,0
2025-01-01,academic,SEN_DE_2026,senate,DE,,win_prob_D,prob,1,0,0,0,0.9962,0.9962,0.9962,,open,single,academic_bew,2025-01-01,0
2025-01-01,academic,SEN_FL_2026,senate,FL,,margin_D,margin,1,0,0,0,-9.33,-9.33,-9.33,,open,single,academic_bew,2025-01-01,0
2025-01-01,academic,SEN_FL_2026,senate,FL,,win_prob_D,prob,1,0,0,0,0.0772,0.0772,0.0772,,open,single,academic_bew,2025-01-01,0
2025-01-01,academic,SEN_GA_2026,senate,GA,,margin_D,margin,1,0,0,0,-0.15,-0.15,-0.15,,open,single,academic_bew,2025-01-01,0
