cycle,chamber,state,district,candidate,candidate_wiki,party,match_tier,n_endorsements,n_cross_party,n_orgs,n_labor,n_newspaper,first_endorsement,last_endorsement,votes,share,won,margin_D,two_party_D,uncontested,votes_unreliable,nominee,same_party_general,race_endorsements,endorsement_share,n_matched_in_race,two_sided,endorsement_share_diff_D
2022,house,AZ,04,GREG STANTON,Greg Stanton,DEMOCRAT,exact,10,0,9,0,0,2021-02-21,2022-07-15,148941.0,56.098727674031444,True,12.212670740068258,56.10633537003413,False,False,True,False,12,83.33333333333333,2,True,66.66666666666666
2022,house,AZ,04,KELLY COOPER,Kelly Cooper,REPUBLICAN,exact,2,0,1,0,0,2022-07-28,2022-07-28,116521.0,43.887712901792106,False,12.212670740068258,56.10633537003413,False,False,True,False,12,16.666666666666668,2,True,66.66666666666666
2024,house,FL,08,MIKE HARIDOPOLOS,Mike Haridopolos,REPUBLICAN,exact,14,0,0,0,0,2024-04-09,2024-08-06,280352.0,62.23848257734522,True,-24.47696515469044,37.76151742265478,False,False,True,False,14,100.0,1,False,
2022,senate,IN,,TODD YOUNG,Todd Young,REPUBLICAN,exact,11,0,10,0,1,2022-04-19,2022-10-31,1090165.0,58.615717065506864,True,-21.49555103823967,39.252224480880166,False,False,True,False,20,55.0,2,True,-10.0
2022,senate,IN,,"THOMAS M. MCDERMOTT, JR.",Thomas McDermott Jr.,DEMOCRAT,core,9,0,2,5,0,2022-10-26,2022-10-26,704411.0,37.87459317977623,False,-21.49555103823967,39.252224480880166,False,False,True,False,20,45.0,2,True,-10.0
2022,house,OR,03,EARL BLUMENAUER,Earl Blumenauer,DEMOCRAT,exact,4,0,2,2,0,2022-03-24,2022-05-16,212119.0,69.92918696881985,True,45.34422803501379,72.6721140175069,False,False,True,False,4,100.0,1,False,
2022,house,OR,04,VAL HOYLE,Val Hoyle,DEMOCRAT,exact,15,0,10,1,1,2021-12-01,2022-07-19,171372.0,50.540732635949944,True,7.97569204888053,53.987846024440266,False,False,True,False,15,100.0,1,False,
2022,house,NJ,06,"FRANK PALLONE, JR",Frank Pallone,DEMOCRAT,exact,5,0,3,2,0,2021-12-29,2022-10-17,106238.0,57.45110021144393,True,16.69568369426122,58.34784184713061,False,False,True,False,6,83.33333333333333,2,True,66.66666666666666
2022,house,NJ,06,SUSAN M KILEY,Sue Kiley,REPUBLICAN,core,1,0,0,0,0,2022-03-08,2022-03-08,75839.0,41.01201066412862,False,16.69568369426122,58.34784184713061,False,False,True,False,6,16.666666666666668,2,True,66.66666666666666
2022,house,GA,05,NIKEMA WILLIAMS,Nikema Williams,DEMOCRAT,exact,7,0,7,0,0,2021-07-20,2022-04-21,243687.0,82.47827087620492,True,64.95654175240983,82.47827087620492,False,False,True,False,7,100.0,1,False,
2024,house,TN,08,DAVID KUSTOFF,David Kustoff,REPUBLICAN,exact,3,0,2,0,0,2023-08-31,2024-05-28,240411.0,72.34431187277131,True,-47.73885095896809,26.130574520515957,False,False,True,False,3,100.0,1,False,
2022,house,MI,02,JOHN R MOOLENAAR,John Moolenaar,REPUBLICAN,core,1,0,0,0,1,2022-06-20,2022-06-20,216222.0,63.68442600015905,True,-29.9903208546505,35.00483957267475,False,False,True,False,1,100.0,1,False,
2024,house,IN,01,RANDY NIEMEYER,Randy Niemeyer,REPUBLICAN,exact,5,0,2,0,0,2023-10-01,2024-07-31,145056.0,44.9475246573687,False,8.632760461446887,54.316380230723446,False,False,True,False,17,29.41176470588235,2,True,41.176470588235304
2024,house,IN,01,FRANK J. MRVAN,Frank Mrvan,DEMOCRAT,core,12,0,9,3,0,2024-02-28,2024-08-19,172467.0,53.44118640443972,True,8.632760461446887,54.316380230723446,False,False,True,False,17,70.58823529411765,2,True,41.176470588235304
2022,house,AL,02,BARRY MOORE,Barry Moore,REPUBLICAN,exact,2,0,1,0,0,2021-09-16,2022-01-21,137460.0,69.08891692341716,True,-40.64274532674422,29.67862733662789,False,False,True,False,3,66.66666666666667,2,True,-33.333333333333336
2022,house,AL,02,PHYLLIS HARVEY-HALL,Phyllis Harvey-Hall,DEMOCRAT,exact,1,0,0,1,0,2022-08-10,2022-08-10,58014.0,29.15847829474118,False,-40.64274532674422,29.67862733662789,False,False,True,False,3,33.333333333333336,2,True,-33.333333333333336
2024,house,WA,01,SUZAN K. DELBENE,Suzan DelBene,DEMOCRAT,core,11,0,7,2,2,2023-12-18,2024-07-18,227213.0,62.99957300267844,True,26.316813573833013,63.15840678691651,False,False,True,False,11,100.0,1,False,
2024,house,WI,07,KYLE KILBOURN,Kyle Kilbourn,DEMOCRAT,exact,2,0,2,0,0,,,156524.0,36.368452358823745,False,-27.211173813061382,36.39441309346931,False,False,True,False,4,50.0,2,True,0.0
2024,house,WI,07,THOMAS P. TIFFANY,Tom Tiffany,REPUBLICAN,core,2,0,2,0,0,2024-02-14,2024-02-14,273553.0,63.560215993159595,True,-27.211173813061382,36.39441309346931,False,False,True,False,4,50.0,2,True,0.0
2024,house,LA,06,CLEO FIELDS,Cleo Fields,DEMOCRAT,exact,1,0,0,0,0,,,150323.0,50.77913610982559,True,14.724108982675723,57.36205449133786,False,False,True,False,3,33.333333333333336,3,True,0.0
2024,house,LA,06,ELBERT GUILLORY,Elbert Guillory,REPUBLICAN,exact,1,0,0,0,0,,,111737.0,37.74477845375347,False,14.724108982675723,57.36205449133786,False,False,True,False,3,33.333333333333336,3,True,0.0
2024,house,LA,06,QUENTIN ANTHONY ANDERSON,Quentin Anderson,DEMOCRAT,core,1,0,1,0,0,,,23811.0,8.043360030807376,False,14.724108982675723,57.36205449133786,False,False,False,False,3,33.333333333333336,3,True,0.0
