year,cycle,chamber,state,district,special,runoff,candidate,party,party_raw,candidate_key,surname_key,n_party_lines,fusion,votes,totalvotes,share,writein,votes_unreliable,won,n_candidates,uncontested,margin_D,two_party_D,race_margin
1976,1976,house,AL,01,False,False,BILL DAVENPORT,DEMOCRAT,DEMOCRAT,bill davenport,davenport b,1,False,58906.0,157170.0,37.479162690080805,False,False,False,3,False,-25.038335995113354,37.48083200244332,25.037220843672458
1976,1976,house,AL,01,False,False,JACK EDWARDS,REPUBLICAN,REPUBLICAN,jack edwards,edwards j,1,False,98257.0,157170.0,62.51638353375326,False,False,True,3,False,-25.038335995113354,37.48083200244332,25.037220843672458
1976,1976,house,AL,01,False,False,WRITEIN,UNKNOWN,NA,writein,writein,1,False,7.0,157170.0,0.0044537761659349745,True,False,False,3,False,-25.038335995113354,37.48083200244332,25.037220843672458
1976,1976,house,AL,02,False,False,J CAROLE KEAHEY,DEMOCRAT,DEMOCRAT,j carole keahey,keahey j,1,False,66288.0,156362.0,42.39393202952124,False,False,False,3,False,-15.209424586043477,42.39528770697826,15.208938233074532
1976,1976,house,AL,02,False,False,"WILLIAM L ""BILL"" DICKINSON",REPUBLICAN,REPUBLICAN,william l dickinson,dickinson w,1,False,90069.0,156362.0,57.60287026259577,False,False,True,3,False,-15.209424586043477,42.39528770697826,15.208938233074532
1976,1976,house,AL,02,False,False,WRITEIN,UNKNOWN,NA,writein,writein,1,False,5.0,156362.0,0.0031977078829894734,True,False,False,3,False,-15.209424586043477,42.39528770697826,15.208938233074532
1976,1976,house,AL,03,False,False,BILL NICHOLS,DEMOCRAT,DEMOCRAT,bill nichols,nichols b,1,False,106935.0,108048.0,98.96990226565971,False,False,True,3,True,,,97.94165556049164
1976,1976,house,AL,03,False,False,OGBURN GARDNER,OTHER,PROHIBITION,ogburn gardner,gardner o,1,False,1111.0,108048.0,1.0282467051680735,False,False,False,3,True,,,97.94165556049164
1976,1976,house,AL,03,False,False,WRITEIN,UNKNOWN,NA,writein,writein,1,False,2.0,108048.0,0.0018510291722197542,True,False,False,3,True,,,97.94165556049164
1976,1976,house,AL,04,False,False,LEONARD WILSON,REPUBLICAN,REPUBLICAN,leonard wilson,wilson l,1,False,34531.0,176022.0,19.61743418436332,False,False,False,3,False,60.764908732480784,80.3824543662404,60.76456352046903
1976,1976,house,AL,04,False,False,TOM BEVILL,DEMOCRAT,DEMOCRAT,tom bevill,bevill t,1,False,141490.0,176022.0,80.38199770483234,False,False,True,3,False,60.764908732480784,80.3824543662404,60.76456352046903
1976,1976,house,AL,04,False,False,WRITEIN,UNKNOWN,NA,writein,writein,1,False,1.0,176022.0,0.0005681108043312767,True,False,False,3,False,60.764908732480784,80.3824543662404,60.76456352046903
1976,1976,house,AL,05,False,False,RONNIE G FLIPPO,DEMOCRAT,DEMOCRAT,ronnie g flippo,flippo r,1,False,113553.0,113560.0,99.99383585769637,False,False,True,2,True,,,99.98767171539275
1976,1976,house,AL,05,False,False,WRITEIN,UNKNOWN,NA,writein,writein,1,False,7.0,113560.0,0.006164142303628038,True,False,False,2,True,,,99.98767171539275
1976,1976,house,AL,06,False,False,BILLY E DORSEY,OTHER,NATIONAL DEMOCRAT,billy e dorsey,dorsey b,1,False,1021.0,162518.0,0.628238102856299,False,False,False,3,False,-14.073945646049152,42.96302717697542,13.985527756925388
1976,1976,house,AL,06,False,False,JOHN H BUCHANAN JR,REPUBLICAN,REPUBLICAN,john h buchanan,buchanan j,1,False,92113.0,162518.0,56.678644827034546,False,False,True,3,False,-14.073945646049152,42.96302717697542,13.985527756925388
1976,1976,house,AL,06,False,False,MEL BAILEY,DEMOCRAT,DEMOCRAT,mel bailey,bailey m,1,False,69384.0,162518.0,42.69311707010916,False,False,False,3,False,-14.073945646049152,42.96302717697542,13.985527756925388
1976,1976,house,AL,07,False,False,WALTER FLOWERS,DEMOCRAT,DEMOCRAT,walter flowers,flowers w,1,False,110496.0,110501.0,99.995475154071,False,False,True,2,True,,,99.990950308142
1976,1976,house,AL,07,False,False,WRITEIN,UNKNOWN,NA,writein,writein,1,False,5.0,110501.0,0.0045248459289961174,True,False,False,2,True,,,99.990950308142
1976,1976,house,AK,00,False,False,DON YOUNG,REPUBLICAN,REPUBLICAN,don young,young d,1,False,83722.0,118208.0,70.82600162425555,False,False,True,3,False,-42.00278164116829,28.998609179415855,41.89902544667028
1976,1976,house,AK,00,False,False,EBEN HOPSON,DEMOCRAT,DEMOCRAT,eben hopson,hopson e,1,False,34194.0,118208.0,28.926976177585274,False,False,False,3,False,-42.00278164116829,28.998609179415855,41.89902544667028
1976,1976,house,AK,00,False,False,WRITEIN,UNKNOWN,NA,writein,writein,1,False,292.0,118208.0,0.24702219815917703,True,False,False,3,False,-42.00278164116829,28.998609179415855,41.89902544667028
1976,1976,house,AZ,01,False,False,HARRY BRAUN,OTHER,INDEPENDENT,harry braun,braun h,1,False,1040.0,168119.0,0.6186094373628204,False,False,False,4,False,-16.985940619292357,41.50702969035382,16.650705750093685
1976,1976,house,AZ,01,False,False,JOHN J RHODES,REPUBLICAN,REPUBLICAN,john j rhodes,rhodes j,1,False,96397.0,168119.0,57.3385518590998,False,False,True,4,False,-16.985940619292357,41.50702969035382,16.650705750093685
1976,1976,house,AZ,01,False,False,PATRICIA M FULLINWIDER,DEMOCRAT,DEMOCRAT,patricia m fullinwider,fullinwider p,1,False,68404.0,168119.0,40.687846109006124,False,False,False,4,False,-16.985940619292357,41.50702969035382,16.650705750093685
1976,1976,house,AZ,01,False,False,SUMMER DUNCAN DODGE,OTHER,LIBERTARIAN,summer duncan dodge,dodge s,1,False,2278.0,168119.0,1.3549925945312546,False,False,False,4,False,-16.985940619292357,41.50702969035382,16.650705750093685
1976,1976,house,AZ,02,False,False,LAIRD GUTTERSEN,REPUBLICAN,REPUBLICAN,laird guttersen,guttersen l,1,False,71765.0,182128.0,39.40360625494158,False,False,False,3,False,19.283091233220297,59.641545616610145,18.826869015198103
1976,1976,house,AZ,02,False,False,MICHAEL EMERLING,OTHER,LIBERTARIAN,michael emerling,emerling m,1,False,4309.0,182128.0,2.3659184749187383,False,False,False,3,False,19.283091233220297,59.641545616610145,18.826869015198103
1976,1976,house,AZ,02,False,False,MORRIS K UDALL,DEMOCRAT,DEMOCRAT,morris k udall,udall m,1,False,106054.0,182128.0,58.230475270139685,False,False,True,3,False,19.283091233220297,59.641545616610145,18.826869015198103
1976,1976,house,AZ,03,False,False,BILL MCCUNE,OTHER,INDEPENDENT,bill mccune,mccune b,1,False,19149.0,187165.0,10.231079528758048,False,False,False,3,False,5.768498238263023,52.88424911913151,5.178318595891326
1976,1976,house,AZ,03,False,False,BOB STUMP,DEMOCRAT,DEMOCRAT,bob stump,stump b,1,False,88854.0,187165.0,47.47361953356664,False,False,True,3,False,5.768498238263023,52.88424911913151,5.178318595891326
1976,1976,house,AZ,03,False,False,FRED KOORY JR,REPUBLICAN,REPUBLICAN,fred koory,koory f,1,False,79162.0,187165.0,42.295300937675314,False,False,False,3,False,5.768498238263023,52.88424911913151,5.178318595891326
1976,1976,house,AZ,04,False,False,ELDON RUDD,REPUBLICAN,REPUBLICAN,eldon rudd,rudd e,1,False,93154.0,191590.0,48.62153557075004,False,False,True,3,False,-0.38741520240962557,49.806292398795186,0.3752805470014093
1976,1976,house,AZ,04,False,False,PAT HARPER,OTHER,LIBERTARIAN,pat harper,harper p,1,False,6001.0,191590.0,3.1322094055013308,False,False,False,3,False,-0.38741520240962557,49.806292398795186,0.3752805470014093
1976,1976,house,AZ,04,False,False,TONY MASON,DEMOCRAT,DEMOCRAT,tony mason,mason t,1,False,92435.0,191590.0,48.24625502374863,False,False,False,3,False,-0.38741520240962557,49.806292398795186,0.3752805470014093
1976,1976,house,AR,01,False,False,BILL ALEXANDER,DEMOCRAT,DEMOCRAT,bill alexander,alexander b,1,False,116217.0,168782.0,68.85627614319063,False,False,True,2,False,37.712552286381246,68.85627614319063,37.712552286381246
1976,1976,house,AR,01,False,False,"HARLAN ""BO"" HOLLEMAN",REPUBLICAN,REPUBLICAN,harlan holleman,holleman h,1,False,52565.0,168782.0,31.143723856809377,False,False,False,2,False,37.712552286381246,68.85627614319063,37.712552286381246
1976,1976,house,AR,02,False,False,JAMES J KELLY,REPUBLICAN,REPUBLICAN,james j kelly,kelly j,1,False,22819.0,167607.0,13.614586502950354,False,False,False,3,False,72.76952726448249,86.38476363224125,72.76605392376213
1976,1976,house,AR,02,False,False,JIM GUY TUCKER,DEMOCRAT,DEMOCRAT,jim guy tucker,tucker j,1,False,144780.0,167607.0,86.38064042671249,False,False,True,3,False,72.76952726448249,86.38476363224125,72.76605392376213
1976,1976,house,AR,02,False,False,WRITEIN,UNKNOWN,NA,writein,writein,1,False,8.0,167607.0,0.004773070337157756,True,False,False,3,False,72.76952726448249,86.38476363224125,72.76605392376213
