state,statewide_two_party_D,source
AK,44.5302,fitted_from_medsl
AL,40.0202,dra_export
AR,35.2094,dra_export
AZ,48.8726,dra_export
CA,60.8227,dra_export
CO,54.479,dra_export
CT,58.0817,dra_export
DE,58.2331,fitted_from_medsl
FL,43.1729,dra_export
GA,48.5046,dra_export
HI,68.2543,dra_export
IA,44.9829,dra_export
ID,33.8703,dra_export
IL,58.1717,dra_export
IN,43.4711,dra_export
KS,41.8983,dra_export
KY,40.4425,dra_export
LA,39.0794,dra_export
MA,61.3913,dra_export
MD,62.1446,dra_export
ME,50.5784,dra_export
MI,51.8861,dra_export
MN,54.5158,dra_export
MO,41.6556,dra_export
MS,43.1848,dra_export
MT,43.6016,dra_export
NC,50.8131,dra_export
ND,34.2387,fitted_from_medsl
NE,37.5423,dra_export
NH,46.5109,dra_export
NJ,57.4288,dra_export
NM,56.0361,dra_export
NV,51.456,dra_export
NY,59.533,dra_export
OH,44.1701,dra_export
OK,33.7873,dra_export
OR,57.4984,dra_export
PA,52.4535,dra_export
RI,61.8892,dra_export
SC,43.2883,dra_export
SD,34.9868,fitted_from_medsl
TN,35.611,dra_export
TX,46.2639,dra_export
UT,35.7098,dra_export
VA,53.6717,dra_export
VT,67.0353,fitted_from_medsl
WA,58.1674,dra_export
WI,50.6753,dra_export
WV,33.4807,dra_export
WY,28.4108,fitted_from_medsl
