ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",760065,0,0.552,0.4406,0.0074,605483,0.6454,0.3546,0.2292,0.0257,0.049,0.0559,0.007,
"2",760065,0,0.6153,0.3776,0.0072,613701,0.7295,0.2705,0.1305,0.0247,0.0554,0.0585,0.0056,
"3",760067,0,0.5343,0.4575,0.0082,600433,0.6099,0.3901,0.1646,0.0668,0.1252,0.034,0.0109,
"4",760065,0,0.5684,0.4245,0.0072,591002,0.5461,0.4539,0.2746,0.0319,0.1161,0.0403,0.0075,
"5",760066,0,0.3873,0.6074,0.0053,599254,0.5946,0.4054,0.255,0.0328,0.0767,0.0478,0.0087,
"6",760067,0,0.53,0.4622,0.0078,576315,0.5453,0.4547,0.1982,0.084,0.144,0.0369,0.0141,
"7",760065,0,0.5561,0.4368,0.0071,586863,0.4392,0.5608,0.2072,0.1013,0.2248,0.0339,0.0194,
"8",760066,0,0.6799,0.3127,0.0074,600387,0.3353,0.6647,0.2801,0.1562,0.2119,0.0353,0.0145,
"9",760065,0,0.5765,0.4159,0.0076,567270,0.2907,0.7093,0.3446,0.1314,0.2204,0.0371,0.0159,
"10",760066,0,0.6551,0.336,0.0088,588180,0.5285,0.4715,0.1792,0.0503,0.2248,0.0238,0.0089,
"11",760067,0,0.8472,0.1417,0.011,664995,0.4464,0.5536,0.1319,0.0657,0.3422,0.0193,0.0069,
"12",760065,0,0.8869,0.1022,0.0109,621080,0.3519,0.6481,0.2118,0.18,0.2459,0.0307,0.0093,
"13",760067,0,0.524,0.4691,0.0069,535741,0.2433,0.7567,0.6048,0.0478,0.089,0.0508,0.0082,
"14",760065,0,0.6845,0.3059,0.0096,590385,0.2703,0.7297,0.2173,0.0594,0.4356,0.0244,0.0184,
"15",760066,0,0.7521,0.2398,0.0081,609967,0.3018,0.6982,0.2465,0.0368,0.396,0.0215,0.0176,
"16",760066,0,0.7321,0.2598,0.0082,600046,0.4528,0.5472,0.1808,0.0275,0.3238,0.0206,0.0072,
"17",760067,0,0.7041,0.2858,0.0101,605246,0.2336,0.7664,0.1582,0.028,0.5712,0.0168,0.0078,
"18",760066,0,0.6608,0.3314,0.0078,574921,0.2204,0.7796,0.6112,0.0289,0.1326,0.0483,0.007,
"19",760067,0,0.6655,0.3261,0.0084,609585,0.5171,0.4829,0.2198,0.0325,0.2093,0.0308,0.0083,
"20",760065,0,0.3261,0.669,0.0049,561841,0.5134,0.4866,0.3388,0.0415,0.0763,0.0447,0.0048,
"21",760067,0,0.5441,0.4502,0.0057,537056,0.2268,0.7732,0.5963,0.0576,0.1085,0.0435,0.004,
"22",760066,0,0.5211,0.4725,0.0064,539701,0.1702,0.8298,0.6981,0.0613,0.061,0.0403,0.0034,
"23",760066,0,0.3986,0.5956,0.0059,575877,0.4354,0.5646,0.3873,0.0973,0.057,0.0442,0.0073,
"24",760065,0,0.6095,0.3834,0.0072,611943,0.5404,0.4596,0.34,0.0257,0.0737,0.0381,0.0048,
"25",760066,0,0.5419,0.4529,0.0052,579383,0.3329,0.6671,0.5617,0.0471,0.0454,0.0386,0.0039,
"26",760067,0,0.5675,0.4254,0.0072,586171,0.4661,0.5339,0.3801,0.0326,0.1076,0.0337,0.0051,
"27",760067,0,0.5502,0.4412,0.0086,573673,0.3437,0.6563,0.4236,0.1132,0.1119,0.0341,0.0048,
"28",760065,0,0.6273,0.3647,0.0079,617402,0.2814,0.7186,0.2571,0.0499,0.4088,0.0232,0.0037,
"29",760066,0,0.7073,0.2832,0.0095,594802,0.2512,0.7488,0.5958,0.0526,0.0968,0.0364,0.0032,
"30",760066,0,0.7225,0.2689,0.0086,649328,0.5706,0.4294,0.2198,0.0488,0.1505,0.0212,0.0035,
"31",760066,0,0.5672,0.4246,0.0082,599214,0.209,0.791,0.5316,0.0445,0.2132,0.0357,0.0044,
"32",760065,0,0.6292,0.3634,0.0074,619152,0.5584,0.4416,0.2279,0.0507,0.1511,0.0211,0.004,
"33",760067,0,0.5669,0.4246,0.0085,555062,0.2083,0.7917,0.5708,0.1219,0.0945,0.0381,0.0059,
"34",760067,0,0.7907,0.1968,0.0125,610534,0.1237,0.8763,0.6162,0.0567,0.2036,0.0442,0.0032,
"35",760066,0,0.5527,0.4386,0.0086,577039,0.2096,0.7904,0.5537,0.0763,0.1556,0.037,0.0059,
"36",760066,0,0.6833,0.309,0.0077,634602,0.5755,0.4245,0.1546,0.0484,0.2055,0.0182,0.0055,
"37",760066,0,0.8331,0.1589,0.008,592275,0.146,0.854,0.5034,0.265,0.0852,0.0375,0.0032,
"38",760067,0,0.5715,0.4192,0.0093,592018,0.1463,0.8537,0.5661,0.0171,0.269,0.033,0.0033,
"39",760067,0,0.5644,0.4275,0.0081,560865,0.2242,0.7758,0.5854,0.104,0.0788,0.0388,0.0067,
"40",760066,0,0.4229,0.5696,0.0075,581307,0.5059,0.4941,0.2895,0.054,0.1339,0.0287,0.0077,
"41",760065,0,0.5724,0.419,0.0086,590880,0.2395,0.7605,0.5778,0.0492,0.1268,0.0388,0.0066,
"42",760067,0,0.5531,0.4386,0.0083,620533,0.4859,0.5141,0.2849,0.0689,0.1443,0.0296,0.0087,
"43",760067,0,0.7735,0.2173,0.0092,569643,0.0796,0.9204,0.5407,0.2737,0.1056,0.035,0.0074,
"44",760067,0,0.7111,0.2791,0.0098,577278,0.0936,0.9064,0.6777,0.1109,0.1136,0.0408,0.0113,
"45",760066,0,0.5171,0.4751,0.0078,603306,0.22,0.78,0.3165,0.0317,0.4239,0.0237,0.0084,
"46",760066,0,0.5898,0.401,0.0092,579828,0.2017,0.7983,0.5981,0.0271,0.1664,0.043,0.0065,
"47",760065,0,0.5376,0.4526,0.0097,607214,0.4934,0.5066,0.1672,0.0268,0.2999,0.0166,0.0049,
"48",760066,0,0.5059,0.4866,0.0075,580265,0.4735,0.5265,0.3593,0.0526,0.094,0.0397,0.0088,
"49",760067,0,0.5384,0.4534,0.0082,591574,0.6028,0.3972,0.1965,0.0323,0.1492,0.0231,0.0087,
"50",760066,0,0.5706,0.4206,0.0087,627559,0.5743,0.4257,0.1671,0.0403,0.1967,0.0222,0.0083,
"51",760067,0,0.585,0.4067,0.0083,608756,0.5398,0.4602,0.2441,0.0826,0.1153,0.03,0.0105,
"52",760066,0,0.6102,0.3816,0.0081,580170,0.1757,0.8243,0.5747,0.0868,0.164,0.0341,0.0102,
"",39523437,1,0.6033,0.3886,0.0081,30827105,0.3787,0.6213,0.3595,0.0681,0.1785,0.0339,0.0077,
