ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",745671,0,0.4592,0.5236,0.0172,596783,0.5973,0.4027,0.0463,0.3234,0.0132,0.0224,0.0017,
"2",745670,0,0.676,0.2981,0.026,584067,0.5697,0.4303,0.1098,0.2401,0.0685,0.0185,0.0014,
"3",745670,0,0.452,0.5281,0.0198,576660,0.5617,0.4383,0.1054,0.294,0.0221,0.0233,0.0031,
"4",745671,0,0.7303,0.2482,0.0214,574606,0.5579,0.4421,0.098,0.2173,0.1128,0.0186,0.0013,
"5",745671,0,0.4289,0.5498,0.0213,596194,0.7067,0.2933,0.0645,0.1873,0.0244,0.0204,0.0011,
"6",745671,0,0.4273,0.5488,0.0239,578293,0.6618,0.3382,0.0883,0.1931,0.0376,0.0233,0.0011,
"7",745671,0,0.4503,0.5266,0.0231,593673,0.6755,0.3245,0.0663,0.2007,0.0186,0.0419,0.0023,
"8",745671,0,0.4148,0.5636,0.0216,563332,0.6362,0.3638,0.0782,0.1769,0.0374,0.0742,0.0012,
"9",745671,0,0.4349,0.5438,0.0212,577673,0.6219,0.3781,0.1052,0.2236,0.0258,0.0319,0.003,
"10",745670,0,0.4256,0.5517,0.0227,581822,0.6952,0.3048,0.0922,0.1658,0.0285,0.0218,0.0013,
"11",745670,0,0.4585,0.5194,0.0221,609924,0.8476,0.1524,0.062,0.0388,0.0128,0.0352,0.0021,
"12",745670,0,0.7383,0.236,0.0258,580319,0.3947,0.6053,0.1516,0.3831,0.0636,0.0198,0.0015,
"13",745670,0,0.4286,0.5472,0.0242,562248,0.6624,0.3376,0.1069,0.1945,0.0162,0.0244,0.0017,
"14",745671,0,0.4339,0.5442,0.0219,579505,0.708,0.292,0.0728,0.1593,0.0401,0.0222,0.0011,
"",10439388,1,0.4968,0.4809,0.0223,8155099,0.6364,0.3636,0.0888,0.2137,0.0371,0.0284,0.0017,
