ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",776971,0,0.4565,0.5349,0.0086,624997,0.7494,0.2506,0.1294,0.0547,0.0576,0.0127,0.0009,
"2",776971,0,0.4487,0.5436,0.0077,611855,0.6001,0.3999,0.2451,0.1144,0.0388,0.0178,0.0011,
"3",776971,0,0.5186,0.4736,0.0078,621713,0.5714,0.4286,0.1362,0.0478,0.2372,0.0092,0.0013,
"4",776971,0,0.5344,0.4581,0.0075,609622,0.529,0.471,0.2029,0.1894,0.0782,0.0127,0.0013,
"5",776971,0,0.8029,0.192,0.0052,616662,0.1317,0.8683,0.1958,0.4722,0.1747,0.0281,0.0048,
"6",776972,0,0.6345,0.3561,0.0094,632721,0.2426,0.7574,0.2372,0.056,0.4681,0.0158,0.0019,
"7",776972,0,0.8116,0.1772,0.0112,622470,0.3679,0.6321,0.3503,0.1445,0.1519,0.0242,0.0032,
"8",776971,0,0.7767,0.2162,0.0072,617339,0.2911,0.7089,0.1506,0.4821,0.1026,0.0139,0.0021,
"9",776971,0,0.7617,0.2303,0.008,601315,0.3058,0.6942,0.1119,0.4889,0.105,0.0126,0.0016,
"10",776972,0,0.8456,0.1424,0.012,633635,0.4971,0.5029,0.1843,0.0814,0.2387,0.0154,0.0033,
"11",776971,0,0.4348,0.5566,0.0086,612426,0.5405,0.4595,0.1647,0.0819,0.2167,0.0146,0.0015,
"12",776971,0,0.8306,0.157,0.0124,682247,0.6614,0.3386,0.1092,0.0655,0.1582,0.0086,0.0028,
"13",776971,0,0.8989,0.0909,0.0102,632159,0.1689,0.8311,0.5041,0.3364,0.0667,0.0291,0.0034,
"14",776970,0,0.7726,0.2184,0.0089,611762,0.2037,0.7963,0.505,0.1949,0.1336,0.0314,0.003,
"15",776971,0,0.8637,0.1295,0.0068,588371,0.1032,0.8968,0.5114,0.4239,0.0434,0.0277,0.0039,
"16",776972,0,0.6945,0.2976,0.0078,606530,0.4165,0.5835,0.2688,0.2527,0.0738,0.0176,0.0016,
"17",776971,0,0.5295,0.4612,0.0094,585311,0.6578,0.3422,0.1842,0.0935,0.0599,0.013,0.0012,
"18",776971,0,0.5223,0.4664,0.0113,605234,0.6645,0.3355,0.1604,0.123,0.0388,0.0199,0.0014,
"19",776971,0,0.5,0.4861,0.0139,635737,0.817,0.183,0.0588,0.0562,0.0432,0.02,0.0013,
"20",776971,0,0.5626,0.4217,0.0158,624146,0.7481,0.2519,0.0599,0.1059,0.0635,0.0187,0.0017,
"21",776971,0,0.4017,0.5853,0.013,621217,0.8846,0.1154,0.0313,0.0358,0.0125,0.0271,0.0013,
"22",776971,0,0.5293,0.4564,0.0144,616358,0.7905,0.2095,0.0467,0.098,0.0437,0.0199,0.0012,
"23",776971,0,0.3866,0.6014,0.0119,617356,0.8983,0.1017,0.0297,0.0289,0.0144,0.0217,0.0009,
"24",776971,0,0.3712,0.615,0.0138,619123,0.8914,0.1086,0.0346,0.0343,0.0107,0.0217,0.0011,
"25",776971,0,0.5674,0.4158,0.0168,618808,0.7078,0.2922,0.0789,0.1548,0.0492,0.0146,0.0012,
"26",776971,0,0.6059,0.3824,0.0117,619021,0.6854,0.3146,0.0606,0.1838,0.0592,0.0162,0.001,
"",20201249,1,0.5889,0.4003,0.0108,16088135,0.5446,0.4554,0.1819,0.1679,0.1062,0.0186,0.0019,
