ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",770539,0,0.6113,0.3705,0.0181,593722,0.6293,0.3707,0.0848,0.035,0.2174,0.0244,0.0081,
"2",770531,0,0.5837,0.3998,0.0165,616048,0.7255,0.2745,0.1009,0.0348,0.0898,0.0411,0.0091,
"3",770527,0,0.4649,0.5202,0.0148,593925,0.7836,0.2164,0.089,0.0253,0.051,0.0388,0.0116,
"4",770535,0,0.3977,0.5894,0.0128,557178,0.5678,0.4322,0.3434,0.0151,0.0259,0.0531,0.0038,
"5",770526,0,0.437,0.5473,0.0156,610022,0.8112,0.1888,0.0706,0.0266,0.0373,0.0434,0.0087,
"6",770523,0,0.5582,0.4244,0.0174,625068,0.7523,0.2477,0.0742,0.0484,0.0658,0.0489,0.0144,
"7",770521,0,0.8505,0.1375,0.012,652826,0.645,0.355,0.0851,0.0598,0.1816,0.0245,0.0077,
"8",770512,0,0.4997,0.484,0.0163,581338,0.7278,0.2722,0.0884,0.029,0.1123,0.0322,0.0096,
"9",770536,0,0.7043,0.2821,0.0136,602935,0.4438,0.5562,0.123,0.1327,0.2669,0.0277,0.0219,
"10",770531,0,0.56,0.4215,0.0186,591627,0.6412,0.3588,0.1071,0.0906,0.1084,0.0401,0.0273,
"",7705281,1,0.5726,0.4118,0.0156,6024689,0.6736,0.3264,0.1146,0.05,0.1165,0.0373,0.0122,
