ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",767871,0,0.2247,0.7581,0.0172,616550,0.8959,0.1041,0.0376,0.0274,0.0108,0.0246,0.0011,
"2",767871,0,0.3462,0.6338,0.0201,609503,0.843,0.157,0.0434,0.063,0.0224,0.0252,0.0011,
"3",767871,0,0.3376,0.6439,0.0186,607013,0.8006,0.1994,0.0461,0.1049,0.0187,0.0281,0.0011,
"4",767872,0,0.3124,0.6687,0.0189,587445,0.7849,0.2151,0.0663,0.0986,0.0238,0.0254,0.0012,
"5",767871,0,0.4268,0.5459,0.0273,582505,0.7191,0.2809,0.0877,0.1267,0.0471,0.0198,0.0013,
"6",767871,0,0.3646,0.614,0.0215,603423,0.8007,0.1993,0.0637,0.094,0.0155,0.0251,0.0013,
"7",767871,0,0.4216,0.551,0.0274,597796,0.7191,0.2809,0.0621,0.1668,0.0283,0.023,0.0027,
"8",767871,0,0.3046,0.6784,0.017,596851,0.7486,0.2514,0.0294,0.1774,0.0234,0.0188,0.0011,
"9",767871,0,0.7233,0.2541,0.0226,583387,0.2852,0.7148,0.077,0.6029,0.0257,0.0154,0.0011,
"",6910840,1,0.3793,0.5995,0.0211,5384473,0.7351,0.2649,0.0568,0.1606,0.0238,0.0229,0.0013,
