ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"0A",36206,-0.0127,0.4068,0.5275,0.0658,27662,0.5783,0.4217,0.1006,0.0964,0.0642,0.1519,0.0141,
"0B",35140,-0.0417,0.3775,0.5637,0.0588,26390,0.7796,0.2204,0.0437,0.0259,0.0377,0.0959,0.0061,
"0C",32513,-0.1134,0.4072,0.5364,0.0564,24984,0.6856,0.3144,0.0472,0.0332,0.0405,0.1886,0.0065,
"0D",43786,0.1941,0.2079,0.7411,0.0509,32127,0.7601,0.2399,0.0423,0.0219,0.0284,0.1352,0.0105,
"0E",40781,0.1121,0.25,0.6987,0.0513,30349,0.8124,0.1876,0.0374,0.013,0.0266,0.0975,0.0063,
"0F",39855,0.0869,0.2658,0.6874,0.0468,28804,0.7918,0.2082,0.0442,0.0195,0.0303,0.1013,0.0075,
"0G",35160,-0.0412,0.3337,0.6105,0.0558,25909,0.727,0.273,0.0846,0.055,0.0499,0.0772,0.0098,
"0H",35206,-0.0399,0.484,0.4558,0.0602,26274,0.4797,0.5203,0.0968,0.1203,0.1301,0.148,0.0563,
"0I",33965,-0.0738,0.5704,0.3781,0.0515,27445,0.5144,0.4856,0.0851,0.0747,0.1359,0.165,0.0439,
"0J",35515,-0.0315,0.6131,0.3362,0.0507,27620,0.442,0.558,0.099,0.1103,0.1178,0.1826,0.0746,
"0K",35052,-0.0441,0.4954,0.4599,0.0447,27061,0.6169,0.3831,0.0617,0.0394,0.1368,0.1279,0.0294,
"0L",35101,-0.0428,0.4446,0.5109,0.0445,26910,0.5829,0.4171,0.0859,0.0481,0.1407,0.1265,0.0299,
"0M",37221,0.015,0.4452,0.5112,0.0436,28110,0.5805,0.4195,0.0785,0.0501,0.1482,0.1312,0.0242,
"0N",36288,-0.0104,0.4688,0.4898,0.0413,27759,0.6977,0.3023,0.0541,0.0539,0.0788,0.0991,0.0237,
"0O",37886,0.0332,0.2627,0.6883,0.049,29366,0.7859,0.2141,0.0356,0.0154,0.0272,0.125,0.0075,
"0P",37476,0.022,0.4195,0.5252,0.0554,29215,0.6949,0.3051,0.0422,0.0098,0.1022,0.1398,0.0073,
"0Q",36329,-0.0093,0.591,0.3577,0.0513,28673,0.6684,0.3316,0.052,0.0191,0.0854,0.1762,0.0169,
"0R",35295,-0.0375,0.4436,0.4926,0.0638,27578,0.607,0.393,0.0389,0.0144,0.0702,0.2696,0.0075,
"0S",36486,-0.005,0.5646,0.3452,0.0902,26161,0.1874,0.8126,0.0585,0.0314,0.0965,0.6255,0.012,
"0T",38130,0.0398,0.5303,0.3596,0.11,25606,0.1944,0.8056,0.027,0.0145,0.0313,0.7304,0.0137,
"",733391,1,0.4176,0.5276,0.0548,554003,0.6148,0.3852,0.0604,0.0427,0.0784,0.1909,0.0202,
