ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",757682,-0.042,0.4892,0.4884,0.0224,582997,0.54,0.46,0.1888,0.0322,0.0257,0.2207,0.0048,
"2",741960,-0.0619,0.5231,0.4558,0.0211,599708,0.6309,0.3691,0.2471,0.0511,0.0444,0.0338,0.0047,
"3",768106,-0.0288,0.6306,0.3493,0.0201,567380,0.301,0.699,0.5784,0.0556,0.0294,0.0573,0.004,
"4",803333,0.0157,0.3007,0.6822,0.0172,652460,0.7519,0.2481,0.1639,0.0242,0.0204,0.0374,0.0039,
"5",881025,0.1139,0.3992,0.5803,0.0205,658359,0.6994,0.3006,0.1613,0.0443,0.0693,0.0269,0.0054,
"6",785858,-0.0064,0.4489,0.5343,0.0168,633208,0.721,0.279,0.1463,0.0412,0.0615,0.0311,0.0031,
"7",788295,-0.0033,0.7324,0.2448,0.0229,563031,0.2384,0.7616,0.5778,0.1201,0.04,0.0512,0.0045,
"8",830489,0.0501,0.3989,0.5833,0.0178,648951,0.6903,0.3097,0.1827,0.0549,0.0487,0.0263,0.0043,
"9",761370,-0.0373,0.5845,0.3926,0.0229,610586,0.5752,0.4248,0.2375,0.0746,0.0764,0.0461,0.0051,
"",7118118,1,0.4789,0.5012,0.0199,5516680,0.581,0.419,0.2685,0.0545,0.0466,0.0575,0.0044,
