ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",44858,-0.0484,0.7371,0.2386,0.0243,36731,0.6128,0.3872,0.0601,0.2611,0.0588,0.0149,0.0009,
"2",40686,-0.1369,0.8696,0.1123,0.0181,30731,0.2104,0.7896,0.1086,0.6702,0.0148,0.0203,0.0017,
"3",41527,-0.1191,0.8467,0.1317,0.0217,30945,0.278,0.722,0.2046,0.5106,0.0194,0.0216,0.0017,
"4",42847,-0.0911,0.6106,0.3692,0.0202,34675,0.7834,0.2166,0.0397,0.0505,0.1109,0.0093,0.001,
"5",41440,-0.1209,0.6463,0.3323,0.0213,33550,0.7884,0.2116,0.0309,0.0872,0.0794,0.0114,0.0008,
"6",56440,0.1973,0.5399,0.4457,0.0144,49220,0.8707,0.1293,0.0447,0.0461,0.0193,0.0142,0.001,
"7",42178,-0.1053,0.6231,0.3506,0.0262,33321,0.6756,0.3244,0.17,0.1096,0.0336,0.0215,0.0013,
"8",42300,-0.1027,0.6344,0.3387,0.0269,36683,0.7077,0.2923,0.0515,0.1302,0.1013,0.0098,0.0008,
"9",42817,-0.0917,0.6388,0.335,0.0262,34133,0.6224,0.3776,0.1291,0.1668,0.071,0.0185,0.0011,
"10",47597,0.0097,0.6076,0.3692,0.0233,36280,0.6287,0.3713,0.0612,0.2037,0.0966,0.0151,0.001,
"11",44272,-0.0608,0.7116,0.2629,0.0255,33940,0.4554,0.5446,0.1313,0.3065,0.1004,0.0217,0.0012,
"12",55963,0.1872,0.6763,0.3034,0.0203,43819,0.5201,0.4799,0.0712,0.3323,0.0668,0.018,0.0011,
"13",44261,-0.0611,0.7455,0.2334,0.0212,34545,0.3985,0.6015,0.1375,0.4036,0.0572,0.0207,0.0016,
"14",54995,0.1666,0.556,0.4225,0.0215,41850,0.6292,0.3708,0.0543,0.2673,0.0361,0.02,0.0015,
"15",52126,0.1058,0.4539,0.5254,0.0206,39865,0.6993,0.3007,0.0461,0.2013,0.0233,0.0318,0.0013,
"16",46895,-0.0052,0.4923,0.4853,0.0224,35477,0.6287,0.3713,0.0738,0.237,0.0437,0.0279,0.0033,
"17",48696,0.033,0.6398,0.3355,0.0247,38347,0.4564,0.5436,0.0717,0.4154,0.0423,0.0256,0.002,
"18",48960,0.0386,0.3935,0.5864,0.0202,38073,0.7054,0.2946,0.0903,0.168,0.0161,0.0252,0.0018,
"19",49900,0.0585,0.4039,0.5795,0.0166,39404,0.6735,0.3265,0.1509,0.1412,0.0128,0.0293,0.0011,
"20",54916,0.165,0.4091,0.5776,0.0132,46936,0.8258,0.1742,0.0635,0.0721,0.0169,0.0193,0.0008,
"21",46274,-0.0184,0.3468,0.6351,0.0181,35018,0.6986,0.3014,0.0877,0.1747,0.0175,0.0227,0.0018,
"",989948,1,0.587,0.3922,0.0208,783543,0.6244,0.3756,0.0867,0.2276,0.0483,0.0199,0.0013,
