ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",807881,0.0128,0.2946,0.6799,0.0255,636380,0.727,0.273,0.066,0.1323,0.0409,0.0318,0.0037,
"2",727856,-0.0876,0.3172,0.6636,0.0192,588566,0.7585,0.2415,0.0668,0.1242,0.0239,0.0248,0.0019,
"3",766133,-0.0396,0.4137,0.5658,0.0205,609560,0.6687,0.3313,0.1029,0.161,0.0474,0.0213,0.0022,
"4",871884,0.093,0.3514,0.6285,0.0201,691279,0.7271,0.2729,0.0884,0.1036,0.0602,0.0189,0.0026,
"5",748910,-0.0612,0.616,0.3658,0.0182,580527,0.4024,0.5976,0.0914,0.462,0.0354,0.0184,0.0022,
"6",796254,-0.0018,0.4046,0.5752,0.0202,658454,0.7351,0.2649,0.1207,0.1012,0.0237,0.0201,0.0015,
"7",788518,-0.0115,0.5199,0.4559,0.0242,634763,0.5612,0.4388,0.2465,0.1219,0.0642,0.0185,0.0023,
"8",783753,-0.0175,0.3898,0.5873,0.0229,645163,0.7459,0.2541,0.1035,0.0968,0.0322,0.0202,0.0022,
"9",955602,0.1979,0.5288,0.4504,0.0208,737088,0.4037,0.5963,0.4153,0.1426,0.0416,0.02,0.0025,
"10",873804,0.0954,0.608,0.3725,0.0195,669945,0.3599,0.6401,0.2895,0.267,0.065,0.0169,0.0029,
"11",820835,0.029,0.3303,0.6494,0.0203,694239,0.7879,0.2121,0.1012,0.0722,0.0185,0.019,0.0015,
"12",807137,0.0118,0.4016,0.5742,0.0242,653760,0.7619,0.2381,0.125,0.0583,0.0355,0.0192,0.0017,
"13",727465,-0.0881,0.5062,0.4697,0.0241,614181,0.7182,0.2818,0.0981,0.1188,0.0448,0.0185,0.0018,
"14",787447,-0.0129,0.5619,0.4165,0.0216,626311,0.452,0.548,0.3015,0.1789,0.0662,0.0162,0.0022,
"15",819853,0.0278,0.4374,0.5396,0.023,639081,0.5675,0.4325,0.2274,0.1539,0.0399,0.0223,0.002,
"16",884047,0.1082,0.4363,0.5433,0.0204,715022,0.7016,0.2984,0.1594,0.0933,0.0303,0.0168,0.0015,
"17",779955,-0.0223,0.3526,0.628,0.0194,650151,0.7617,0.2383,0.1326,0.0715,0.0166,0.0167,0.0012,
"18",794724,-0.0037,0.4538,0.5314,0.0148,649064,0.6713,0.3287,0.156,0.1295,0.0285,0.0156,0.0017,
"19",835012,0.0468,0.3652,0.6195,0.0152,700605,0.7163,0.2837,0.1808,0.0678,0.0214,0.0133,0.0012,
"20",776283,-0.0269,0.7964,0.1926,0.011,593894,0.18,0.82,0.2675,0.5237,0.0367,0.0118,0.002,
"21",788007,-0.0122,0.585,0.4015,0.0134,643275,0.5745,0.4255,0.2258,0.1497,0.035,0.0144,0.0015,
"22",785756,-0.015,0.5724,0.4141,0.0135,645611,0.5606,0.4394,0.2137,0.1522,0.0426,0.0112,0.0016,
"23",769356,-0.0355,0.6058,0.3799,0.0143,613268,0.3911,0.6089,0.3974,0.1521,0.055,0.011,0.0017,
"24",742542,-0.0692,0.8041,0.1833,0.0126,587681,0.1172,0.8828,0.4487,0.4362,0.0209,0.0107,0.0013,
"25",771434,-0.0329,0.4108,0.5743,0.0149,623579,0.1992,0.8008,0.7437,0.0486,0.016,0.009,0.0008,
"26",787914,-0.0123,0.5141,0.4703,0.0156,623565,0.1515,0.8485,0.7244,0.1134,0.0222,0.0113,0.001,
"27",739825,-0.0726,0.5369,0.4482,0.0148,614220,0.2137,0.7863,0.7035,0.0595,0.0274,0.0093,0.001,
"",21538187,1,0.4745,0.5065,0.019,17339232,0.5465,0.4535,0.2499,0.1554,0.0368,0.017,0.0018,
