ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",755781,-0.0122,0.4147,0.5692,0.0162,582105,0.5999,0.4001,0.0684,0.2849,0.0303,0.0201,0.003,
"2",673028,-0.1204,0.5471,0.4432,0.0097,518145,0.4135,0.5865,0.0492,0.5112,0.0173,0.0145,0.0021,
"3",763075,-0.0027,0.3431,0.64,0.0169,583475,0.6393,0.3607,0.0552,0.2595,0.0276,0.0205,0.0014,
"4",773761,0.0113,0.7694,0.2158,0.0148,587002,0.2323,0.7677,0.0951,0.6082,0.0624,0.0165,0.0014,
"5",788126,0.03,0.845,0.138,0.017,635913,0.3159,0.6841,0.0742,0.5514,0.0556,0.0144,0.0014,
"6",765793,0.0009,0.4879,0.4875,0.0246,589600,0.5811,0.4189,0.1236,0.1446,0.1349,0.0175,0.0013,
"7",859440,0.1233,0.4806,0.4961,0.0233,635791,0.4116,0.5884,0.1888,0.214,0.1789,0.0195,0.0015,
"8",719919,-0.0591,0.3485,0.6391,0.0124,549306,0.5973,0.4027,0.0594,0.3082,0.0217,0.0171,0.0014,
"9",775367,0.0134,0.2032,0.7786,0.0181,603376,0.7809,0.2191,0.1074,0.0685,0.0184,0.0252,0.001,
"10",775012,0.0129,0.3691,0.6142,0.0167,599155,0.6454,0.3546,0.0574,0.2493,0.0306,0.0181,0.0013,
"11",802515,0.0489,0.3768,0.5984,0.0247,622759,0.6503,0.3497,0.1087,0.1757,0.0433,0.0223,0.0013,
"12",738624,-0.0347,0.4103,0.5758,0.0139,565091,0.5554,0.4446,0.0574,0.3488,0.0258,0.0173,0.0022,
"13",792916,0.0363,0.735,0.2505,0.0145,596630,0.2358,0.7642,0.1042,0.6265,0.0307,0.0177,0.0013,
"14",728551,-0.0478,0.2356,0.7463,0.0181,551926,0.7589,0.2411,0.1001,0.1024,0.0134,0.0282,0.0011,
"",10711908,1,0.4718,0.5106,0.0175,8220274,0.5282,0.4718,0.0904,0.3173,0.0507,0.0192,0.0015,
