ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",705949,-0.0082,0.7266,0.2233,0.0501,553460,0.3443,0.6557,0.1051,0.5186,0.0285,0.0144,0.001,
"2",679628,-0.0452,0.7597,0.1951,0.0452,523382,0.2657,0.7343,0.1368,0.5829,0.0109,0.0174,0.0011,
"3",725625,0.0194,0.5527,0.3982,0.0491,558968,0.5774,0.4226,0.3083,0.0549,0.0519,0.0257,0.0009,
"4",698570,-0.0186,0.7971,0.1543,0.0486,535319,0.2477,0.7523,0.6502,0.057,0.048,0.05,0.0017,
"5",743449,0.0445,0.6844,0.271,0.0445,609358,0.6689,0.3311,0.1919,0.04,0.0916,0.0176,0.0013,
"6",732745,0.0294,0.4911,0.4644,0.0446,567876,0.748,0.252,0.0981,0.032,0.1081,0.0135,0.001,
"7",764663,0.0743,0.8285,0.1262,0.0453,618137,0.314,0.686,0.1617,0.4302,0.0929,0.0159,0.0013,
"8",716990,0.0073,0.5704,0.3835,0.046,556411,0.5263,0.4737,0.2606,0.0528,0.1517,0.0245,0.0014,
"9",742156,0.0426,0.674,0.2878,0.0382,596175,0.631,0.369,0.1094,0.097,0.1533,0.0142,0.0015,
"10",724946,0.0185,0.5896,0.3716,0.0388,556985,0.5673,0.4327,0.2214,0.0728,0.1273,0.0215,0.0016,
"11",706376,-0.0076,0.5839,0.3676,0.0485,534185,0.5236,0.4764,0.2486,0.1218,0.0961,0.0219,0.0011,
"12",674870,-0.0519,0.4455,0.5128,0.0417,525887,0.7541,0.2459,0.0337,0.168,0.0178,0.0227,0.0013,
"13",695583,-0.0228,0.4618,0.487,0.0512,557188,0.762,0.238,0.0414,0.1204,0.0545,0.0186,0.0012,
"14",753195,0.0581,0.457,0.4948,0.0482,567362,0.7682,0.2318,0.1192,0.0369,0.0577,0.0173,0.0011,
"15",680293,-0.0443,0.2763,0.6816,0.0421,529188,0.894,0.106,0.0271,0.0454,0.0098,0.0188,0.001,
"16",692552,-0.027,0.397,0.5508,0.0522,540454,0.8189,0.1811,0.0921,0.0461,0.0201,0.0202,0.0008,
"17",673770,-0.0534,0.4762,0.4771,0.0466,524366,0.7569,0.2431,0.0847,0.1217,0.0167,0.02,0.0013,
"18",701148,-0.015,0.3471,0.6031,0.0498,544768,0.8774,0.1226,0.0264,0.0454,0.0295,0.0171,0.001,
"",12812508,1,0.5549,0.399,0.0461,9999469,0.6124,0.3876,0.162,0.1468,0.0662,0.0205,0.0012,
