ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",732202,-0.0288,0.5672,0.4074,0.0255,563903,0.6258,0.3742,0.145,0.1936,0.0186,0.0212,0.0009,
"2",731881,-0.0293,0.404,0.5643,0.0317,554320,0.7923,0.2077,0.0916,0.0741,0.0184,0.0217,0.0011,
"3",758914,0.0066,0.3425,0.624,0.0335,566739,0.8261,0.1739,0.0583,0.0661,0.0289,0.0184,0.0011,
"4",764870,0.0145,0.3469,0.6171,0.036,588649,0.8293,0.1707,0.0591,0.047,0.0407,0.0195,0.0058,
"5",804869,0.0675,0.4489,0.5189,0.0322,613277,0.7928,0.2072,0.0478,0.095,0.0445,0.0168,0.001,
"6",723540,-0.0403,0.3154,0.6491,0.0355,562675,0.9009,0.0991,0.0275,0.0323,0.0165,0.0188,0.001,
"7",787266,0.0442,0.6198,0.3475,0.0327,589712,0.525,0.475,0.1192,0.2952,0.0453,0.0213,0.0015,
"8",715369,-0.0512,0.381,0.5902,0.0287,555417,0.8891,0.1109,0.0252,0.0484,0.0137,0.0182,0.0015,
"9",766617,0.0168,0.3815,0.5868,0.0317,597887,0.8709,0.1291,0.0359,0.0373,0.0307,0.0213,0.0011,
"",6785528,1,0.4208,0.5472,0.0319,5192579,0.783,0.217,0.0676,0.0992,0.0289,0.0197,0.0017,
