ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",730467,-0.0648,0.5682,0.4074,0.0244,584845,0.7241,0.2759,0.1638,0.0758,0.028,0.0174,0.0018,
"2",780054,-0.0013,0.5628,0.4103,0.0269,628460,0.7456,0.2544,0.0978,0.0655,0.0695,0.0147,0.0012,
"3",796664,0.0199,0.5728,0.4018,0.0253,622084,0.6446,0.3554,0.1922,0.0618,0.0872,0.0139,0.0017,
"4",777137,-0.0051,0.5796,0.3976,0.0227,611525,0.8082,0.1918,0.0453,0.0436,0.0784,0.0089,0.0011,
"5",794966,0.0177,0.6794,0.3,0.0206,642147,0.6705,0.3295,0.093,0.0621,0.1375,0.0091,0.0012,
"6",777832,-0.0042,0.5575,0.4195,0.023,623043,0.7974,0.2026,0.0919,0.0443,0.05,0.0106,0.001,
"7",799816,0.024,0.8112,0.1713,0.0176,670821,0.4255,0.5745,0.1911,0.2401,0.1388,0.0138,0.002,
"8",798458,0.0222,0.5933,0.386,0.0207,648181,0.7037,0.2963,0.0573,0.1195,0.096,0.009,0.0012,
"9",774523,-0.0084,0.5199,0.459,0.0211,632617,0.8423,0.1577,0.0546,0.0469,0.0175,0.014,0.0013,
"",7029917,1,0.6001,0.3774,0.0225,5663723,0.7043,0.2957,0.1097,0.0859,0.0791,0.0123,0.0014,
