ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",742488,-0.0381,0.3438,0.6264,0.0299,586041,0.7835,0.2165,0.0407,0.125,0.0305,0.0183,0.0013,
"2",783839,0.0154,0.6001,0.3699,0.03,606085,0.4738,0.5262,0.081,0.3663,0.0664,0.0211,0.0016,
"3",775596,0.0048,0.6181,0.3485,0.0334,608563,0.5612,0.4388,0.0952,0.241,0.0905,0.0177,0.0017,
"4",800270,0.0367,0.7507,0.2257,0.0236,616027,0.2457,0.7543,0.1697,0.5418,0.0421,0.0235,0.0017,
"5",796356,0.0317,0.6327,0.3409,0.0264,619675,0.4263,0.5737,0.0952,0.4123,0.0567,0.0233,0.002,
"6",785698,0.0178,0.5561,0.414,0.0299,611177,0.5702,0.4298,0.1367,0.1518,0.1287,0.0189,0.0017,
"7",706680,-0.0845,0.7219,0.248,0.0301,557182,0.3425,0.6575,0.0455,0.5072,0.0987,0.0142,0.0014,
"8",784476,0.0163,0.6332,0.3369,0.0299,610452,0.5875,0.4125,0.1458,0.1415,0.1124,0.018,0.0016,
"",6175403,1,0.6033,0.3675,0.0292,4815202,0.4987,0.5013,0.1022,0.3101,0.0782,0.0194,0.0016,
