ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",690726,-0.0317,0.4473,0.5013,0.0514,530831,0.8525,0.1475,0.059,0.0372,0.0333,0.0138,0.0016,
"2",731958,0.0261,0.5022,0.4446,0.0532,551326,0.7973,0.2027,0.0615,0.0594,0.0585,0.0178,0.0014,
"3",737898,0.0345,0.548,0.4041,0.048,564787,0.7659,0.2341,0.0434,0.0837,0.0878,0.0146,0.0011,
"4",726476,0.0185,0.6457,0.2995,0.0547,558962,0.6805,0.3195,0.062,0.1094,0.1276,0.0207,0.0016,
"5",736036,0.0319,0.7664,0.179,0.0546,589800,0.6554,0.3446,0.0847,0.165,0.071,0.0277,0.0016,
"6",733957,0.0289,0.3853,0.5612,0.0535,546349,0.8734,0.1266,0.0282,0.0427,0.0318,0.0165,0.0011,
"7",673514,-0.0558,0.369,0.587,0.044,513575,0.8863,0.1137,0.042,0.0175,0.0113,0.0383,0.0017,
"8",675929,-0.0524,0.4376,0.5138,0.0485,533403,0.9095,0.0905,0.0139,0.0154,0.0104,0.0419,0.001,
"",5706494,1,0.5173,0.4316,0.0511,4389033,0.7995,0.2005,0.0498,0.0681,0.055,0.0238,0.0014,
