ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",19687,-0.0051,0.2743,0.6892,0.0364,15791,0.9519,0.0481,0.0183,0.0016,0.0049,0.0232,0.0009,
"2",19896,0.0055,0.3209,0.6382,0.0409,15237,0.951,0.049,0.0136,0.0025,0.0075,0.0267,0.0013,
"3",19822,0.0017,0.4403,0.5268,0.0329,15593,0.9547,0.0453,0.0183,0.0037,0.0091,0.0148,0.0016,
"4",19944,0.0079,0.3621,0.5932,0.0447,14901,0.9356,0.0644,0.0228,0.004,0.0124,0.0266,0.0012,
"5",19889,0.0051,0.3062,0.6612,0.0326,15505,0.95,0.05,0.0195,0.0035,0.0064,0.0218,0.0014,
"6",19874,0.0043,0.3432,0.623,0.0338,15184,0.8847,0.1153,0.0199,0.0036,0.0076,0.0861,0.0012,
"7",19968,0.0091,0.2797,0.6775,0.0428,15867,0.9329,0.0671,0.0146,0.0021,0.0054,0.0463,0.0004,
"8",19204,-0.0295,0.6708,0.2964,0.0327,13097,0.3552,0.6448,0.0189,0.0048,0.0033,0.6282,0.0011,
"9",19804,0.0008,0.3004,0.6609,0.0388,15416,0.9281,0.0719,0.0135,0.0034,0.0036,0.0534,0.0005,
"10",19875,0.0044,0.3517,0.619,0.0293,15297,0.9426,0.0574,0.0137,0.0048,0.0095,0.0305,0.0007,
"11",19753,-0.0018,0.4487,0.509,0.0424,15127,0.9026,0.0974,0.0223,0.0085,0.0118,0.0583,0.002,
"12",19659,-0.0065,0.4846,0.472,0.0434,15498,0.866,0.134,0.0328,0.0172,0.0162,0.0744,0.0028,
"13",19910,0.0062,0.4695,0.4829,0.0476,15179,0.8564,0.1436,0.0387,0.0319,0.0172,0.0605,0.0032,
"14",19875,0.0044,0.3899,0.5694,0.0407,15108,0.9087,0.0913,0.0131,0.0042,0.0075,0.0687,0.0015,
"15",19986,0.01,0.265,0.696,0.039,15848,0.9643,0.0357,0.0119,0.0015,0.0037,0.0185,0.0009,
"16",19637,-0.0076,0.5915,0.3726,0.0359,13072,0.3623,0.6377,0.0157,0.0016,0.0047,0.6271,0.0006,
"17",19648,-0.0071,0.2768,0.6771,0.0461,15282,0.9273,0.0727,0.0107,0.0017,0.0047,0.0563,0.0007,
"18",19729,-0.003,0.2109,0.752,0.0371,15360,0.9507,0.0493,0.02,0.003,0.0042,0.0231,0.0005,
"19",20021,0.0118,0.2366,0.7286,0.0348,15591,0.9632,0.0368,0.0131,0.0026,0.0049,0.0162,0.0009,
"20",19869,0.0041,0.2242,0.7383,0.0375,15143,0.9478,0.0522,0.0203,0.0026,0.005,0.026,0.0011,
"21",19199,-0.0298,0.5138,0.4517,0.0345,12895,0.4153,0.5847,0.0306,0.0038,0.0062,0.5579,0.0005,
"22",19706,-0.0041,0.369,0.5831,0.048,14675,0.9153,0.0847,0.0316,0.0065,0.0097,0.0397,0.0015,
"23",19738,-0.0025,0.3741,0.5893,0.0366,14948,0.9337,0.0663,0.0237,0.006,0.0109,0.0274,0.0011,
"24",19577,-0.0107,0.5041,0.4523,0.0436,15867,0.898,0.102,0.034,0.0108,0.01,0.051,0.0022,
"25",19580,-0.0105,0.4989,0.4426,0.0586,15427,0.8472,0.1528,0.0667,0.0145,0.0113,0.0678,0.0016,
"26",19676,-0.0057,0.4429,0.5029,0.0542,15099,0.8604,0.1396,0.0578,0.0134,0.0076,0.0693,0.0023,
"27",19802,0.0007,0.3247,0.6419,0.0334,14803,0.9496,0.0504,0.0185,0.0028,0.0111,0.0172,0.0016,
"28",19769,-0.001,0.339,0.6164,0.0447,14628,0.9306,0.0694,0.0282,0.0038,0.0056,0.0334,0.0018,
"29",19714,-0.0037,0.3138,0.6504,0.0358,15497,0.9645,0.0355,0.0157,0.0032,0.0045,0.0135,0.0012,
"30",19298,-0.0248,0.4318,0.5285,0.0397,15416,0.9618,0.0382,0.0143,0.0022,0.0063,0.0158,0.001,
"31",19737,-0.0026,0.6305,0.3316,0.0379,15884,0.9588,0.0412,0.0161,0.0028,0.0139,0.0081,0.0009,
"32",19820,0.0016,0.4965,0.4513,0.0522,16477,0.9105,0.0895,0.032,0.0075,0.0271,0.0243,0.0019,
"33",19542,-0.0124,0.6303,0.3177,0.052,16193,0.94,0.06,0.023,0.0056,0.0173,0.0139,0.0017,
"34",19910,0.0062,0.3646,0.5854,0.0501,14214,0.9499,0.0501,0.0234,0.0033,0.0096,0.0153,0.0011,
"35",19908,0.0061,0.3102,0.6509,0.0388,15248,0.9585,0.0415,0.016,0.0024,0.005,0.0171,0.0017,
"36",20240,0.0228,0.3243,0.6379,0.0379,16351,0.9491,0.0509,0.0252,0.0027,0.005,0.0167,0.0028,
"37",20097,0.0156,0.6303,0.3226,0.047,15943,0.9172,0.0828,0.0372,0.0049,0.0068,0.0383,0.0011,
"38",19943,0.0078,0.498,0.4638,0.0382,15472,0.9544,0.0456,0.0178,0.0019,0.0072,0.0191,0.0008,
"39",20107,0.0161,0.4927,0.4618,0.0455,16397,0.9271,0.0729,0.0204,0.0073,0.0049,0.0437,0.0012,
"40",19807,0.001,0.4408,0.5237,0.0355,15294,0.9483,0.0517,0.0169,0.0026,0.0065,0.0262,0.0012,
"41",19748,-0.002,0.5365,0.4204,0.0431,15435,0.9326,0.0674,0.0213,0.0045,0.0103,0.0327,0.0015,
"42",19829,0.0021,0.5213,0.4347,0.044,15139,0.9332,0.0668,0.0178,0.0046,0.0083,0.0366,0.0013,
"43",20105,0.016,0.3402,0.6252,0.0346,16075,0.952,0.048,0.0206,0.0032,0.0079,0.0174,0.0009,
"44",20107,0.0161,0.3274,0.6386,0.034,15313,0.9489,0.0511,0.0251,0.0017,0.0056,0.02,0.0012,
"45",19714,-0.0037,0.6134,0.3469,0.0397,15839,0.9126,0.0874,0.0235,0.0074,0.0284,0.0303,0.0016,
"46",19843,0.0028,0.6318,0.3279,0.0403,16437,0.9417,0.0583,0.0183,0.0049,0.0107,0.0257,0.0015,
"47",19725,-0.0032,0.4877,0.475,0.0373,14787,0.8146,0.1854,0.0237,0.0042,0.0096,0.1557,0.0016,
"48",19684,-0.0053,0.5812,0.3698,0.049,15704,0.9117,0.0883,0.0246,0.0082,0.0147,0.0437,0.0028,
"49",19798,0.0005,0.496,0.4622,0.0418,15290,0.9352,0.0648,0.0188,0.0039,0.013,0.0306,0.0015,
"50",19642,-0.0074,0.675,0.2831,0.042,16009,0.9308,0.0692,0.0234,0.0069,0.0121,0.0296,0.0014,
