ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",690335,-0.1403,0.5472,0.4381,0.0148,542621,0.4773,0.5227,0.0662,0.4286,0.013,0.0218,0.0014,
"2",912272,0.136,0.6243,0.35,0.0257,699071,0.5946,0.4054,0.0978,0.192,0.1021,0.0177,0.0014,
"3",744061,-0.0734,0.3775,0.6004,0.0221,587149,0.6823,0.3177,0.0779,0.196,0.0226,0.0231,0.0034,
"4",873349,0.0876,0.6571,0.3218,0.0212,684689,0.573,0.427,0.1029,0.2545,0.0556,0.0202,0.0012,
"5",751720,-0.0639,0.3222,0.6546,0.0232,598671,0.7912,0.2088,0.0578,0.1119,0.0166,0.0232,0.0011,
"6",806975,0.0049,0.6054,0.3726,0.0221,630797,0.513,0.487,0.0954,0.3331,0.0466,0.0213,0.0013,
"7",826717,0.0295,0.407,0.5704,0.0226,654241,0.716,0.284,0.0851,0.161,0.0133,0.0261,0.0014,
"8",822722,0.0245,0.4594,0.5163,0.0244,618940,0.5628,0.4372,0.1042,0.2755,0.0366,0.0309,0.0039,
"9",785256,-0.0221,0.4457,0.5322,0.0221,592445,0.6023,0.3977,0.0832,0.1828,0.0475,0.0879,0.0017,
"10",776405,-0.0332,0.3159,0.6609,0.0233,609002,0.7771,0.2229,0.074,0.1056,0.0221,0.0217,0.0011,
"11",780402,-0.0282,0.4298,0.5459,0.0244,638805,0.8487,0.1513,0.0607,0.0399,0.0126,0.0346,0.0021,
"12",899004,0.1195,0.6804,0.2937,0.0259,695650,0.4273,0.5727,0.1451,0.3575,0.0621,0.0198,0.0014,
"13",770170,-0.0409,0.3261,0.6527,0.0211,603018,0.7272,0.2728,0.0909,0.1446,0.0152,0.025,0.0009,
"",10439388,1,0.483,0.4944,0.0226,8155099,0.6364,0.3636,0.0888,0.2137,0.0371,0.0284,0.0017,
