ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",754891,-0.0242,0.6182,0.361,0.0208,588981,0.6223,0.3777,0.1289,0.1831,0.0614,0.0164,0.0017,
"2",726960,-0.0603,0.4734,0.5032,0.0233,579898,0.6643,0.3357,0.1512,0.1317,0.0434,0.02,0.0017,
"3",751493,-0.0286,0.4724,0.5076,0.0201,605731,0.7385,0.2615,0.0789,0.1214,0.0484,0.0144,0.0012,
"4",798347,0.032,0.4258,0.5545,0.0197,600839,0.7582,0.2418,0.1082,0.071,0.0508,0.0116,0.001,
"5",747557,-0.0336,0.498,0.4806,0.0214,590560,0.6803,0.3197,0.1409,0.0602,0.1137,0.0107,0.0012,
"6",764677,-0.0115,0.5648,0.4128,0.0224,603167,0.4601,0.5399,0.2146,0.1122,0.209,0.0134,0.0015,
"7",759310,-0.0185,0.497,0.4808,0.0222,593438,0.6857,0.3143,0.1282,0.0566,0.1188,0.0101,0.001,
"8",822786,0.0636,0.7574,0.2224,0.0203,648997,0.2578,0.7422,0.5062,0.116,0.1201,0.023,0.0022,
"9",793844,0.0262,0.6423,0.338,0.0197,617106,0.3758,0.6242,0.3687,0.118,0.1501,0.0181,0.0017,
"10",816058,0.0549,0.8541,0.1301,0.0158,631031,0.1941,0.8059,0.207,0.5238,0.0836,0.0155,0.0021,
"11",762088,-0.0149,0.5008,0.4795,0.0197,605429,0.7107,0.2893,0.1134,0.0525,0.1151,0.009,0.0009,
"12",785005,0.0148,0.6498,0.3287,0.0214,616133,0.4442,0.5558,0.1876,0.1786,0.1881,0.0145,0.0016,
"",9283016,1,0.5624,0.4169,0.0207,7281310,0.5447,0.4553,0.1972,0.1453,0.109,0.0148,0.0015,
