ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",768550,0.0422,0.4507,0.528,0.0213,588948,0.6866,0.3134,0.0347,0.2112,0.0488,0.0172,0.0015,
"2",734793,-0.0036,0.4126,0.5656,0.0219,570679,0.8428,0.1572,0.0207,0.0912,0.0205,0.0203,0.001,
"3",809749,0.098,0.6823,0.2956,0.022,615129,0.5205,0.4795,0.0721,0.3365,0.0565,0.0212,0.0016,
"4",716177,-0.0289,0.3273,0.6475,0.0252,556605,0.8699,0.1301,0.0338,0.059,0.0142,0.0191,0.001,
"5",731052,-0.0087,0.3721,0.6031,0.0248,568450,0.8791,0.1209,0.0468,0.0358,0.0171,0.0172,0.0012,
"6",687118,-0.0683,0.3102,0.6688,0.021,544358,0.9303,0.0697,0.0106,0.0272,0.006,0.0191,0.0006,
"7",737340,-0.0002,0.3535,0.6217,0.0248,568010,0.8966,0.1034,0.0236,0.045,0.0094,0.0205,0.0008,
"8",745736,0.0112,0.3173,0.6611,0.0216,572177,0.8376,0.1624,0.0366,0.0725,0.0295,0.0207,0.0015,
"9",704051,-0.0453,0.5997,0.3742,0.0261,553095,0.6937,0.3063,0.1002,0.1697,0.0213,0.0208,0.0012,
"10",729405,-0.0109,0.4491,0.5284,0.0225,571689,0.7363,0.2637,0.0309,0.1774,0.0327,0.0214,0.0016,
"11",692589,-0.0609,0.796,0.1877,0.0163,544832,0.3878,0.6122,0.0455,0.5253,0.035,0.0139,0.0011,
"12",808944,0.0969,0.4358,0.5435,0.0207,622766,0.8357,0.1643,0.0248,0.0593,0.0575,0.0177,0.001,
"13",698441,-0.0529,0.5359,0.44,0.0242,563848,0.7965,0.2035,0.03,0.1255,0.0251,0.0196,0.0009,
"14",730056,-0.01,0.4419,0.5361,0.022,578512,0.8693,0.1307,0.0257,0.0545,0.0296,0.0144,0.0007,
"15",766337,0.0392,0.4216,0.5569,0.0215,601233,0.8649,0.1351,0.0241,0.0549,0.0321,0.0196,0.0009,
"16",739110,0.0022,0.4175,0.5594,0.0231,587231,0.8961,0.1039,0.0244,0.0288,0.0289,0.0153,0.0008,
"",11799448,1,0.4535,0.5241,0.0224,9207562,0.784,0.216,0.0365,0.1291,0.0294,0.0186,0.0011,
