ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",732646,0.0142,0.5241,0.4565,0.0194,584095,0.8159,0.1841,0.0512,0.0469,0.0709,0.0109,0.0009,
"2",733054,0.0148,0.7372,0.2485,0.0144,562838,0.4026,0.5974,0.23,0.2697,0.1014,0.0146,0.0024,
"3",752057,0.0411,0.9115,0.0747,0.0138,623362,0.3522,0.6478,0.0504,0.5133,0.0821,0.0134,0.0015,
"4",754596,0.0446,0.6075,0.3743,0.0182,593119,0.7583,0.2417,0.0519,0.106,0.0719,0.011,0.0009,
"5",731012,0.012,0.644,0.3407,0.0153,569946,0.6235,0.3765,0.0449,0.2442,0.079,0.0108,0.0011,
"6",752938,0.0423,0.5516,0.4254,0.023,578637,0.7254,0.2746,0.141,0.074,0.053,0.0148,0.0014,
"7",745782,0.0324,0.5209,0.457,0.0222,590711,0.7037,0.2963,0.1723,0.0842,0.0388,0.0142,0.0013,
"8",713086,-0.0129,0.4933,0.4849,0.0218,573748,0.7915,0.2085,0.106,0.0708,0.0234,0.0138,0.0012,
"9",706246,-0.0223,0.3612,0.6134,0.0253,565752,0.8787,0.1213,0.0639,0.0311,0.0137,0.0122,0.001,
"10",759486,0.0514,0.4729,0.502,0.0251,596651,0.7431,0.2569,0.0801,0.1168,0.0502,0.0145,0.0014,
"11",748591,0.0363,0.3824,0.5908,0.0268,578830,0.8424,0.1576,0.0781,0.0449,0.0245,0.0131,0.0009,
"12",686782,-0.0493,0.3324,0.6412,0.0264,550909,0.9059,0.0941,0.0231,0.0259,0.0241,0.0149,0.0012,
"13",694813,-0.0382,0.292,0.6859,0.0222,555212,0.9094,0.0906,0.0294,0.0326,0.0095,0.0144,0.0008,
"14",689589,-0.0454,0.3983,0.5797,0.022,560234,0.9153,0.0847,0.0131,0.0386,0.0106,0.0131,0.0008,
"15",674325,-0.0665,0.3141,0.6614,0.0245,548080,0.9264,0.0736,0.0153,0.0247,0.0114,0.0137,0.0006,
"16",688028,-0.0475,0.4238,0.5519,0.0242,548756,0.8868,0.1132,0.0218,0.0523,0.016,0.0145,0.0007,
"17",737056,0.0203,0.5214,0.4538,0.0248,591870,0.8569,0.1431,0.0202,0.0675,0.0367,0.0122,0.0008,
"18",702613,-0.0274,0.6615,0.3146,0.0239,580798,0.7235,0.2765,0.0259,0.1812,0.0554,0.0125,0.001,
"",13002700,1,0.5131,0.4651,0.0218,10353548,0.7615,0.2385,0.068,0.1148,0.0434,0.0132,0.0011,
