ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",23193,-0.0845,0.4236,0.5704,0.0061,17304,0.7805,0.2195,0.0231,0.0048,0.0047,0.1886,0.0009,
"2",24405,-0.0366,0.3386,0.6542,0.0072,17663,0.9225,0.0775,0.0338,0.0047,0.0097,0.0254,0.0016,
"3",26506,0.0463,0.3787,0.6095,0.0119,20500,0.8621,0.1379,0.0411,0.0255,0.0276,0.0428,0.0018,
"4",24391,-0.0372,0.3255,0.6666,0.0079,18283,0.9368,0.0632,0.0366,0.0037,0.0045,0.0158,0.0004,
"5",24953,-0.015,0.3268,0.6631,0.0101,19235,0.9229,0.0771,0.022,0.0062,0.0109,0.0369,0.001,
"6",34840,0.3753,0.3567,0.6306,0.0127,24308,0.9183,0.0817,0.0211,0.0195,0.0173,0.0175,0.0012,
"7",25207,-0.005,0.4511,0.5314,0.0175,20435,0.8717,0.1283,0.0323,0.0271,0.0419,0.0254,0.0014,
"8",22023,-0.1307,0.3721,0.6186,0.0092,16800,0.8846,0.1154,0.0404,0.01,0.0114,0.0507,0.0013,
"9",29462,0.163,0.4029,0.5833,0.0138,21929,0.8151,0.1849,0.0707,0.0489,0.0229,0.0402,0.0021,
"10",28364,0.1196,0.386,0.6014,0.0126,20142,0.7879,0.2121,0.0497,0.0706,0.0641,0.0269,0.0008,
"11",30219,0.1929,0.4064,0.5806,0.0131,21664,0.8802,0.1198,0.0313,0.0321,0.024,0.0252,0.0012,
"12",27580,0.0887,0.4439,0.5418,0.0143,21422,0.8534,0.1466,0.0446,0.0417,0.0251,0.0312,0.0009,
"13",25212,-0.0048,0.4634,0.5259,0.0107,19636,0.8849,0.1151,0.0343,0.0288,0.0214,0.0286,0.0007,
"14",27628,0.0906,0.4679,0.5199,0.0122,20552,0.8569,0.1431,0.0384,0.0549,0.0214,0.0249,0.0012,
"15",22868,-0.0973,0.5489,0.4333,0.0177,18561,0.6886,0.3114,0.0768,0.1108,0.0261,0.1,0.0013,
"16",24967,-0.0144,0.3062,0.6848,0.009,18668,0.9212,0.0788,0.0254,0.0117,0.0137,0.0191,0.0021,
"17",23640,-0.0668,0.4215,0.5685,0.01,18812,0.8948,0.1052,0.0254,0.0179,0.0207,0.0357,0.0007,
"18",23310,-0.0799,0.389,0.5978,0.0132,18382,0.8853,0.1147,0.0464,0.0194,0.0078,0.0403,0.0007,
"19",23084,-0.0888,0.2623,0.7308,0.0068,17253,0.9554,0.0446,0.0174,0.0031,0.0035,0.0175,0.002,
"20",24366,-0.0382,0.3344,0.6571,0.0086,18681,0.9063,0.0937,0.0421,0.0092,0.0087,0.0322,0.0021,
"21",22315,-0.1191,0.2934,0.7011,0.0055,16919,0.7646,0.2354,0.0168,0.0103,0.0052,0.2055,0.0022,
"22",24336,-0.0394,0.3314,0.6601,0.0085,17934,0.8057,0.1943,0.0903,0.0093,0.0727,0.0215,0.003,
"23",21425,-0.1543,0.2259,0.769,0.0051,16740,0.9218,0.0782,0.0133,0.0067,0.0048,0.0545,0.0011,
"24",23453,-0.0742,0.3439,0.646,0.0101,17869,0.8467,0.1533,0.0195,0.0086,0.0088,0.1121,0.0016,
"25",28046,0.1071,0.3631,0.6256,0.0113,20535,0.8991,0.1009,0.0286,0.0294,0.0181,0.0185,0.0008,
"26",23067,-0.0894,0.4685,0.5232,0.0082,15423,0.4484,0.5516,0.0154,0.0056,0.006,0.5323,0.0012,
"27",22297,-0.1198,0.5538,0.4384,0.0079,14661,0.2634,0.7366,0.022,0.007,0.0055,0.7183,0.0016,
"28",23891,-0.0569,0.3436,0.648,0.0084,17120,0.6122,0.3878,0.0192,0.0057,0.0041,0.3582,0.002,
"29",27790,0.097,0.2473,0.7374,0.0153,20844,0.8626,0.1374,0.0376,0.0241,0.0155,0.0532,0.0034,
"30",24497,-0.033,0.2629,0.7256,0.0115,19888,0.8957,0.1043,0.0228,0.0074,0.0083,0.0574,0.0024,
"31",25768,0.0172,0.3379,0.6436,0.0185,20823,0.9077,0.0923,0.0289,0.0082,0.0105,0.0386,0.0009,
"32",25661,0.0129,0.4044,0.5763,0.0193,20348,0.7899,0.2101,0.0427,0.0206,0.0209,0.1273,0.0013,
"33",24761,-0.0226,0.3298,0.654,0.0162,18997,0.8058,0.1942,0.0379,0.013,0.0163,0.1262,0.0023,
"34",25197,-0.0054,0.3794,0.6033,0.0173,19760,0.82,0.18,0.0323,0.0197,0.0212,0.1044,0.0016,
"35",27945,0.1031,0.3278,0.6496,0.0226,21164,0.7659,0.2341,0.0515,0.0254,0.0242,0.1352,0.003,
"",886667,1,0.3667,0.6215,0.0118,669255,0.8309,0.1691,0.0356,0.0223,0.0185,0.0906,0.0015,
