ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",726822,-0.0535,0.225,0.7578,0.0172,583413,0.8949,0.1051,0.0381,0.0278,0.011,0.0247,0.0011,
"2",773834,0.0078,0.3461,0.6338,0.0201,615181,0.842,0.158,0.044,0.0633,0.0225,0.0252,0.0011,
"3",738526,-0.0382,0.3385,0.6432,0.0183,583830,0.8102,0.1898,0.0409,0.1019,0.0178,0.027,0.001,
"4",830847,0.082,0.314,0.6676,0.0184,636819,0.776,0.224,0.0711,0.1028,0.0237,0.0258,0.0013,
"5",800247,0.0422,0.5997,0.3643,0.0359,638692,0.613,0.387,0.1066,0.2202,0.0429,0.0212,0.0014,
"6",811099,0.0563,0.2714,0.7111,0.0175,629534,0.8586,0.1414,0.046,0.0527,0.0146,0.0249,0.0011,
"7",822369,0.071,0.3162,0.6612,0.0226,618534,0.7915,0.2085,0.048,0.1076,0.0285,0.022,0.0026,
"8",716347,-0.0671,0.3241,0.6588,0.0171,553819,0.7229,0.2771,0.0316,0.1965,0.0278,0.0191,0.0012,
"9",690749,-0.1004,0.7719,0.2051,0.023,524651,0.2462,0.7538,0.0821,0.6393,0.0248,0.0145,0.0011,
"",6910840,1,0.3793,0.5995,0.0211,5384473,0.7351,0.2649,0.0568,0.1606,0.0238,0.0229,0.0013,
