ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",722363,-0.1077,0.2638,0.7208,0.0154,551187,0.6325,0.3675,0.1556,0.1732,0.0154,0.0264,0.0012,
"2",814704,0.0063,0.4617,0.5165,0.0219,620092,0.4506,0.5494,0.304,0.1355,0.0965,0.0267,0.0026,
"3",933008,0.1524,0.4481,0.5274,0.0245,695254,0.5309,0.4691,0.1391,0.1111,0.1987,0.0229,0.002,
"4",787256,-0.0276,0.2345,0.7488,0.0167,594989,0.7039,0.2961,0.1317,0.1093,0.0177,0.0387,0.0018,
"5",783116,-0.0327,0.3668,0.6157,0.0176,583516,0.5271,0.4729,0.269,0.1575,0.0255,0.0313,0.0014,
"6",824978,0.019,0.4538,0.5245,0.0217,614947,0.4718,0.5282,0.2232,0.2232,0.063,0.028,0.003,
"7",800911,-0.0107,0.505,0.4741,0.021,608885,0.4059,0.5941,0.3005,0.1594,0.1264,0.0235,0.0019,
"8",916386,0.1319,0.2617,0.7191,0.0193,688632,0.6166,0.3834,0.2248,0.0938,0.0406,0.0285,0.0021,
"9",770798,-0.0479,0.7708,0.2128,0.0164,575595,0.1058,0.8942,0.376,0.3824,0.1388,0.0223,0.0015,
"10",937982,0.1586,0.4661,0.5105,0.0234,704721,0.5169,0.4831,0.2715,0.1187,0.0769,0.0266,0.0018,
"11",779694,-0.0369,0.1967,0.7867,0.0166,588778,0.5744,0.4256,0.3434,0.0437,0.0162,0.0281,0.002,
"12",864524,0.0678,0.3602,0.6165,0.0233,654805,0.6094,0.3906,0.2096,0.1056,0.05,0.0308,0.0025,
"13",707470,-0.1261,0.1849,0.7976,0.0175,535723,0.6428,0.3572,0.2427,0.0616,0.0234,0.035,0.0017,
"14",774686,-0.0431,0.3904,0.5906,0.019,590343,0.5117,0.4883,0.235,0.1977,0.0381,0.0245,0.0014,
"15",807702,-0.0023,0.5309,0.4492,0.02,574834,0.1713,0.8287,0.7822,0.0237,0.0168,0.018,0.0011,
"16",757362,-0.0645,0.6732,0.2956,0.0312,567481,0.1396,0.8604,0.7925,0.0447,0.0231,0.0243,0.0034,
"17",805606,-0.0049,0.4185,0.5559,0.0255,624513,0.5488,0.4512,0.2368,0.134,0.0634,0.026,0.002,
"18",796908,-0.0157,0.7574,0.2228,0.0198,597333,0.1824,0.8176,0.394,0.3678,0.0545,0.0252,0.0024,
"19",731424,-0.0966,0.2543,0.7247,0.021,553145,0.549,0.451,0.3343,0.0732,0.0249,0.0271,0.0017,
"20",772103,-0.0463,0.6228,0.3509,0.0263,583799,0.2276,0.7724,0.6536,0.0697,0.0469,0.0295,0.0031,
"21",848070,0.0475,0.4579,0.5169,0.0252,685700,0.6184,0.3816,0.2632,0.0475,0.0518,0.027,0.0029,
"22",972309,0.201,0.4658,0.5147,0.0194,705197,0.3775,0.6225,0.2397,0.1566,0.2157,0.0188,0.0016,
"23",834649,0.0309,0.4871,0.4918,0.0212,609968,0.2635,0.7365,0.6566,0.0468,0.0264,0.0248,0.0025,
"24",822706,0.0162,0.4821,0.4942,0.0237,641938,0.4616,0.5384,0.2186,0.1339,0.1671,0.0254,0.0044,
"25",846452,0.0455,0.4326,0.5434,0.024,645260,0.6704,0.3296,0.1743,0.0776,0.0504,0.0288,0.0052,
"26",943106,0.1649,0.3907,0.5843,0.025,695738,0.6065,0.3935,0.1761,0.1017,0.0907,0.0301,0.0023,
"27",739697,-0.0863,0.3674,0.6145,0.0181,562326,0.4227,0.5773,0.4835,0.0566,0.0232,0.0243,0.0017,
"28",781276,-0.035,0.5467,0.4317,0.0216,559578,0.1805,0.8195,0.7426,0.0561,0.0169,0.0193,0.0021,
"29",717255,-0.1141,0.6917,0.29,0.0182,512721,0.1054,0.8946,0.7432,0.1259,0.0254,0.0308,0.0015,
"30",782976,-0.0329,0.7897,0.1914,0.0189,581745,0.1736,0.8264,0.3661,0.4275,0.0284,0.0272,0.0015,
"31",933772,0.1534,0.4504,0.5195,0.0301,694856,0.5555,0.4445,0.2189,0.1277,0.0783,0.0296,0.0059,
"32",789666,-0.0246,0.5119,0.4653,0.0228,612612,0.5048,0.4952,0.2339,0.1409,0.1039,0.0259,0.0016,
"33",720644,-0.1099,0.7383,0.2421,0.0196,514162,0.1455,0.8545,0.6375,0.1801,0.0317,0.0316,0.0015,
"34",711851,-0.1207,0.5431,0.4379,0.019,516624,0.1497,0.8503,0.8206,0.0164,0.0094,0.0153,0.0008,
"35",832396,0.0282,0.6706,0.3009,0.0285,632892,0.2923,0.7077,0.5652,0.1016,0.0351,0.0321,0.0063,
"36",779699,-0.0369,0.2633,0.7203,0.0164,586811,0.5961,0.4039,0.2544,0.099,0.0272,0.0284,0.0013,
"",29145505,1,0.4526,0.5257,0.0217,21866700,0.4316,0.5684,0.3616,0.1298,0.0621,0.0267,0.0024,
