ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",828121,0.0555,0.4475,0.5362,0.0164,632491,0.657,0.343,0.0963,0.1756,0.0517,0.0245,0.0024,
"2",752598,-0.0407,0.4951,0.4864,0.0185,591270,0.6161,0.3839,0.0786,0.2134,0.0772,0.023,0.0045,
"3",760306,-0.0309,0.6602,0.3243,0.0155,590420,0.4155,0.5845,0.0628,0.4725,0.0404,0.0223,0.0035,
"4",786094,0.002,0.6037,0.3818,0.0145,627825,0.4957,0.5043,0.0625,0.3968,0.0323,0.0199,0.0021,
"5",736713,-0.061,0.4414,0.5452,0.0134,593817,0.7158,0.2842,0.0386,0.1998,0.0292,0.0162,0.0011,
"6",764704,-0.0253,0.3752,0.6079,0.0169,609026,0.791,0.209,0.0542,0.1122,0.0229,0.0194,0.0012,
"7",815768,0.0398,0.4781,0.5051,0.0168,627953,0.659,0.341,0.0758,0.1852,0.0627,0.019,0.0014,
"8",798866,0.0183,0.7515,0.227,0.0215,630872,0.5131,0.4869,0.1802,0.1509,0.1469,0.0194,0.0024,
"9",694587,-0.1147,0.2922,0.6958,0.012,568638,0.8746,0.1254,0.024,0.0596,0.022,0.0171,0.001,
"10",885662,0.1289,0.56,0.4217,0.0183,655874,0.5893,0.4107,0.1332,0.0807,0.1832,0.0165,0.0019,
"11",806547,0.028,0.6897,0.2902,0.0201,615792,0.4418,0.5582,0.1824,0.1461,0.2219,0.0175,0.0026,
"",8629966,1,0.5276,0.4556,0.0168,6743978,0.6134,0.3866,0.0911,0.1988,0.0823,0.0195,0.0022,
