ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",788323,0.0231,0.5646,0.4179,0.0175,603080,0.6994,0.3006,0.0835,0.0227,0.1536,0.0307,0.0062,
"2",765780,-0.0062,0.6031,0.3793,0.0175,609749,0.6936,0.3064,0.1005,0.0436,0.1171,0.037,0.0108,
"3",773981,0.0045,0.4669,0.5184,0.0146,597199,0.7832,0.2168,0.09,0.0249,0.0504,0.039,0.0115,
"4",751582,-0.0246,0.3914,0.5958,0.0128,543081,0.5588,0.4412,0.3519,0.0161,0.0263,0.0532,0.004,
"5",748864,-0.0281,0.4416,0.5426,0.0158,592477,0.817,0.183,0.0639,0.0264,0.0378,0.0435,0.0087,
"6",733943,-0.0475,0.5612,0.4213,0.0174,597036,0.7557,0.2443,0.0713,0.0499,0.0647,0.0485,0.0138,
"7",800395,0.0388,0.8382,0.1496,0.0122,677179,0.6537,0.3463,0.0825,0.0572,0.1778,0.0243,0.0075,
"8",781311,0.014,0.5013,0.4831,0.0157,589342,0.6853,0.3147,0.105,0.0412,0.125,0.0332,0.0133,
"9",774922,0.0057,0.7216,0.265,0.0134,612135,0.4405,0.5595,0.1157,0.1257,0.2883,0.0256,0.0189,
"10",786180,0.0203,0.5503,0.431,0.0187,603411,0.6485,0.3515,0.1079,0.0866,0.1026,0.0412,0.0272,
"",7705281,1,0.5726,0.4118,0.0156,6024689,0.6736,0.3264,0.1146,0.05,0.1165,0.0373,0.0122,
