endorser_key,endorser,party,method
aaron bean,Aaron Bean,R,descriptor+roster
aaron regunberg,Aaron Regunberg,D,wikipedia categories
aaron rouse,Aaron Rouse,D,wikipedia categories
abby finkenauer,Abby Finkenauer,D,descriptor+roster
abdullah hammoud,Abdullah Hammoud,D,wikipedia categories
abe hamadeh,Abe Hamadeh,R,descriptor+roster
abigail spanberger,Abigail Spanberger,D,descriptor+roster
aboul khan,Aboul Khan,R,wikipedia categories
adam botana,Adam Botana,R,wikipedia categories
adam ebbin,Adam Ebbin,D,wikipedia categories
adam gray,Adam Gray,D,descriptor+roster
adam hollier,Adam Hollier,D,wikipedia categories
adam kinzinger,Adam Kinzinger,R,descriptor+roster
adam kwasman,Adam Kwasman,R,wikipedia categories
adam neylon,Adam Neylon,R,wikipedia categories
adam pugh,Adam Pugh,R,wikipedia categories
adam schiff,Adam Schiff,D,descriptor+roster
adam smith washington politician,Adam Smith,D,descriptor+roster
adam zabner,Adam Zabner,D,wikipedia categories
adam zemke,Adam Zemke,D,wikipedia categories
adelita grijalva,Adelita Grijalva,D,descriptor+roster
adrian smith politician,Adrian Smith,R,descriptor+roster
adriano espaillat,Adriano Espaillat,D,descriptor+roster
adrienne a jones,Adrienne Jones,D,wikipedia categories
adrienne benavidez,Adrienne Benavidez,D,wikipedia categories
adrin nazarian,Adrin Nazarian,D,wikipedia categories
ako abdul samad,Ako Abdul-Samad,D,wikipedia categories
al d amato,Al D'Amato,R,descriptor+roster
al franken,Al Franken,D,descriptor+roster
al green politician,Al Green,D,descriptor+roster
al lawson,Al Lawson,D,descriptor+roster
al riley,Al Riley,D,wikipedia categories
al stirpe,Al Stirpe,D,wikipedia categories
alabama republican party,Alabama Republican Party,R,wikipedia categories
alan baker politician,Alan Baker,R,wikipedia categories
alan lasee,Alan Lasee,R,wikipedia categories
alan maisel,Alan Maisel,D,wikipedia categories
alan simpson american politician,Alan Simpson,R,descriptor+roster
alaska democratic party,Alaska Democratic Party,D,wikipedia categories
alaska republican party,Alaska Republican Party,R,wikipedia categories
albert a stirpe jr,Al Stirpe,D,wikipedia categories
albert wynn,Albert Wynn,D,descriptor+roster
alberta darling,Alberta Darling,R,wikipedia categories
albio sires,Albio Sires,D,descriptor+roster
alex andrade,Alex Andrade,R,wikipedia categories
alex garza,Alex Garza,D,wikipedia categories
alex mooney,Alex Mooney,R,descriptor+roster
alex padilla,Alex Padilla,D,descriptor+roster
alex rizo,Alex Rizo,R,wikipedia categories
alexandria ocasio cortez,Alexandria Ocasio-Cortez,D,descriptor+roster
allan kittleman,Allan Kittleman,R,wikipedia categories
allen boyd,Allen Boyd,D,descriptor+roster
allen farley,Allen Farley,R,wikipedia categories
allen west politician,Allen West,R,descriptor+roster
allison tant,Allison Tant,D,wikipedia categories
allyson schwartz,Allyson Schwartz,D,descriptor+roster
alma adams,Alma Adams,D,descriptor+roster
alonzo t washington,Alonzo T. Washington,D,wikipedia categories
alvin baldus,Alvin Baldus,D,wikipedia categories
amanda ragan,Amanda Ragan,D,wikipedia categories
ami bera,Ami Bera,D,descriptor+roster
amy klobuchar,Amy Klobuchar,D,descriptor+roster
amy paulin,Amy Paulin,D,wikipedia categories
ana quezada,Ana Quezada,D,wikipedia categories
ana sol gutierrez,Ana Sol Gutierrez,D,wikipedia categories
ander crenshaw,Ander Crenshaw,R,descriptor+roster
andre carson,André Carson,D,descriptor+roster
andrea salinas,Andrea Salinas,D,descriptor+roster
andrea stewart cousins,Andrea Stewart-Cousins,D,wikipedia categories
andrew barkis,Andrew Barkis,R,wikipedia categories
andrew boesenecker,Andrew Boesenecker,D,wikipedia categories
andrew brenner,Andrew Brenner,R,wikipedia categories
andrew chesney,Andrew Chesney,R,wikipedia categories
andrew clyde,Andrew Clyde,R,descriptor+roster
andrew garbarino,Andrew Garbarino,R,descriptor+roster
andrew josephson,Andrew Josephson,D,wikipedia categories
andrew lanza,Andrew Lanza,R,wikipedia categories
andrew prout,Andrew Prout,R,wikipedia categories
andrew romanoff,Andrew Romanoff,D,wikipedia categories
andrew young,Andrew Young,D,wikipedia categories
andy barr,Andy Barr,R,descriptor+roster
andy barr american politician,Andy Barr,R,descriptor+roster
andy biggs,Andy Biggs,R,descriptor+roster
andy harris politician,Andy Harris,R,descriptor+roster
andy jorgensen,Andy Jorgensen,D,wikipedia categories
andy kim,Andy Kim,D,descriptor+roster
andy kim politician,Andy Kim,D,descriptor+roster
andy levin,Andy Levin,D,descriptor+roster
andy meisner,Andy Meisner,D,wikipedia categories
andy ogles,Andy Ogles,R,descriptor+roster
angela alsobrooks,Angela Alsobrooks,D,descriptor+roster
angela romero,Angela Romero,D,wikipedia categories
angie craig,Angie Craig,D,descriptor+roster
angus king,Angus King,D,wikipedia categories
ann johnson politician,Ann Johnson,D,wikipedia categories
ann kirkpatrick,Ann Kirkpatrick,D,descriptor+roster
ann kitchen,Ann Kitchen,D,wikipedia categories
ann margaret ferrante,Ann-Margaret Ferrante,D,wikipedia categories
ann wagner,Ann Wagner,R,descriptor+roster
ann williams politician,Ann Williams,D,wikipedia categories
anna eshoo,Anna Eshoo,D,descriptor+roster
anna paulina luna,Anna Paulina Luna,R,descriptor+roster
anna tovar,Anna Tovar,D,wikipedia categories
anne gannon,Anne Gannon,D,wikipedia categories
