state_newspaper,newspaper,member,year,newspaper_bias,n_endorsements
AL,TALLADEGA DAILY HOME,10586,2000,.6330552365788227,12
AL,TALLADEGA DAILY HOME,10586,2002,.4898146473080159,13
AL,TALLADEGA DAILY HOME,10586,2006,.203333468766402,20
AL,TALLADEGA DAILY HOME,10586,2008,.0600928794955957,1
AL,ANNISTON STAR,100050,1964,1.950882995873877,1
AL,ANNISTON STAR,100050,1966,1.898459665892048,1
AL,ANNISTON STAR,100050,1968,1.846036335910218,1
AL,ANNISTON STAR,100050,1972,1.741189675946559,2
AL,ANNISTON STAR,100050,1976,1.6363430159829,1
AL,ANNISTON STAR,100050,1978,1.583919686001071,4
AL,ANNISTON STAR,100050,1980,1.531496356019241,2
AL,ANNISTON STAR,100050,1984,1.426649696055583,3
AL,ANNISTON STAR,100050,1986,1.374226366073753,5
AL,ANNISTON STAR,100050,1988,1.321803036091924,2
AL,ANNISTON STAR,100050,1990,1.269379706110094,7
AL,ANNISTON STAR,100050,1992,1.216956376128264,3
AL,ANNISTON STAR,100050,1994,1.164533046146435,7
AL,ANNISTON STAR,100050,1996,1.112109716164605,2
AL,ANNISTON STAR,100050,2004,.9024163962372881,2
AL,ANNISTON STAR,100050,2008,.797569736273629,2
AL,ANNISTON STAR,100050,2016,.5878764163463108,2
AL,BIRMINGHAM POST HERALD,100100,1952,-.0461241460227044,1
AL,BIRMINGHAM POST HERALD,100100,1956,-.0269777484238924,1
AL,BIRMINGHAM POST HERALD,100100,1960,-.0078313508250804,1
AL,BIRMINGHAM POST HERALD,100100,1964,.0113150467737318,1
AL,BIRMINGHAM POST HERALD,100100,1972,.0496078419713558,3
AL,BIRMINGHAM POST HERALD,100100,1976,.0687542395701678,1
AL,BIRMINGHAM POST HERALD,100100,1978,.0783274383695738,4
AL,BIRMINGHAM POST HERALD,100100,1980,.0879006371689798,2
AL,BIRMINGHAM POST HERALD,100100,1982,.0974738359683858,1
AL,BIRMINGHAM POST HERALD,100100,1984,.1070470347677918,2
AL,BIRMINGHAM POST HERALD,100100,1986,.1166202335671978,4
AL,BIRMINGHAM POST HERALD,100100,1988,.1261934323666038,3
AL,BIRMINGHAM POST HERALD,100100,1990,.1357666311660098,9
AL,BIRMINGHAM POST HERALD,100100,1992,.1453398299654158,3
AL,BIRMINGHAM POST HERALD,100100,1994,.1549130287648218,8
AL,BIRMINGHAM POST HERALD,100100,1996,.1644862275642278,9
AL,BIRMINGHAM POST HERALD,100100,1998,.1740594263636338,13
AL,BIRMINGHAM POST HERALD,100100,2000,.1836326251630402,15
AL,BIRMINGHAM POST HERALD,100100,2004,.2027790227618522,1
AL,BIRMINGHAM POST HERALD,100100,2006,.2123522215612582,1
AL,BIRMINGHAM NEWS,100101,1952,-1.148498440218041,1
AL,BIRMINGHAM NEWS,100101,1956,-1.117699377495579,1
AL,BIRMINGHAM NEWS,100101,1960,-1.086900314773116,1
AL,BIRMINGHAM NEWS,100101,1964,-1.056101252050653,1
AL,BIRMINGHAM NEWS,100101,1968,-1.02530218932819,1
AL,BIRMINGHAM NEWS,100101,1972,-.9945031266057276,1
AL,BIRMINGHAM NEWS,100101,1976,-.9637040638832648,1
AL,BIRMINGHAM NEWS,100101,1980,-.9329050011608021,1
AL,BIRMINGHAM NEWS,100101,1984,-.9021059384383393,1
AL,BIRMINGHAM NEWS,100101,1988,-.8713068757158767,1
AL,BIRMINGHAM NEWS,100101,1992,-.8405078129934138,1
AL,BIRMINGHAM NEWS,100101,1994,-.8251082816321825,15
AL,BIRMINGHAM NEWS,100101,1996,-.809708750270951,10
AL,BIRMINGHAM NEWS,100101,1998,-.7943092189097196,12
